11410, 185, -702, 16766, 8, -10, -3, -378 ,-11 ,16820 ,8 ,-6 ,1, 27709.8089, 27857.2053
11413, 185, -702, 16766, 8, -10, -3, -381 ,-15 ,16788 ,9 ,-7 ,2, 27698.2695, 27881.7654
11417, 185, -709, 16744, 7, -11, -4, -381 ,-15 ,16788 ,9 ,-7 ,2, 27816.3880, 27920.9644
11423, 196, -724, 16708, 8, -11, -2, -386 ,0 ,16762 ,10 ,-7 ,2, 27692.3448, 27756.3065
11431, 196, -724, 16708, 7, -10, -2, -366 ,29 ,16764 ,9 ,-7 ,3, 27563.1756, 27905.4970
11439, 179, -729, 16694, 7, -10, -2, -368 ,11 ,16759 ,12 ,-8 ,3, 27770.2868, 27890.5630
11446, 144, -755, 16724, 4, -9, -2, -368 ,11 ,16759 ,12 ,-8 ,3, 27577.3823, 27777.8119
11454, 174, -763, 16726, 3, -9, -3, -373 ,-11 ,16716 ,13 ,-8 ,4, 27492.0672, 27812.7104
11462, 183, -740, 16703, 4, -11, -3, -382 ,-15 ,16696 ,12 ,-6 ,3, 27664.0683, 27801.6418
11470, 205, -716, 16725, 6, -12, -4, -405 ,-9 ,16721 ,9 ,-6 ,3, 27745.1694, 27850.5951
11477, 228, -710, 16725, 8, -12, -2, -416 ,-15 ,16797 ,8 ,-6 ,2, 27631.7596, 27844.7121
11485, 228, -710, 16759, 8, -12, -2, -429 ,-26 ,16870 ,5 ,-6 ,2, 27568.5042, 27871.0365
11493, 210, -686, 16828, 11, -12, -3, -408 ,-41 ,16919 ,4 ,-7 ,2, 27592.7454, 27855.7897
11501, 201, -703, 16883, 11, -10, -3, -408 ,-41 ,16919 ,4 ,-7 ,2, 27635.5624, 27808.6275
11508, 204, -750, 16859, 10, -10, -3, -416 ,-21 ,16901 ,3 ,-7 ,2, 27699.2768, 27790.0904
11516, 202, -769, 16798, 10, -10, -3, -402 ,25 ,16884 ,3 ,-8 ,0, 27613.3865, 27873.3075
11524, 199, -751, 16760, 10, -11, -4, -382 ,0 ,16822 ,4 ,-9 ,0, 27499.7771, 27886.3877
11532, 174, -688, 16760, 9, -9, -4, -381 ,6 ,16772 ,5 ,-10 ,1, 27648.7887, 27850.6666
11539, 174, -688, 16750, 9, -9, -4, -374 ,-4 ,16706 ,6 ,-9 ,2, 27747.2734, 27775.9761
11547, 174, -665, 16706, 9, -9, -4, -367 ,-21 ,16687 ,6 ,-8 ,3, 27665.5227, 27814.8353
11554, 164, -696, 16707, 8, -10, -3, -367 ,-21 ,16687 ,7 ,-8 ,3, 27613.3895, 27653.2978
11562, 164, -747, 16731, 9, -12, -3, -373 ,-26 ,16688 ,8 ,-7 ,3, 27654.3736, 27780.5328
11570, 170, -758, 16746, 10, -13, -3, -373 ,-19 ,16728 ,7 ,-5 ,3, 27618.4410, 27802.0859
11578, 129, -772, 16765, 10, -13, -4, -334 ,9 ,16768 ,6 ,-4 ,0, 27614.3193, 27785.8049
11585, 129, -772, 16724, 12, -13, -5, -334 ,50 ,16799 ,6 ,-4 ,1, 27627.6827, 27750.4444
11593, 125, -805, 16724, 12, -13, -5, -340 ,75 ,16815 ,2 ,-5 ,1, 27562.6987, 27822.8223
11601, 137, -797, 16708, 15, -13, -5, -340 ,32 ,16797 ,2 ,-5 ,1, 27626.3148, 27860.2481
11609, 153, -776, 16708, 18, -11, -5, -335 ,32 ,16797 ,-3 ,-7 ,0, 27750.4802, 27874.6873
11617, 183, -754, 16731, 19, -10, -5, -353 ,40 ,16793 ,-4 ,-7 ,0, 27740.0643, 27851.0153
11624, 172, -738, 16748, 18, -10, -5, -368 ,17 ,16787 ,-4 ,-8 ,-1, 27584.0074, 27714.3627
11632, 167, -690, 16768, 17, -10, -5, -380 ,-20 ,16783 ,-1 ,-9 ,1, 27572.0596, 27732.5690
11640, 210, -690, 16785, 14, -10, -4, -400 ,9 ,16768 ,1 ,-8 ,2, 27562.4633, 27731.5199
11648, 210, -659, 16785, 14, -10, -4, -442 ,3 ,16764 ,2 ,-9 ,3, 27698.5914, 27798.4411
11655, 226, -659, 16791, 11, -12, -3, -442 ,-253 ,16789 ,2 ,-9 ,3, 27613.1719, 27757.7192
11663, 181, -627, 16832, 7, -11, -2, -414 ,-74 ,16789 ,7 ,-6 ,4, 27588.1976, 27790.6954
11671, 152, -653, 16843, 3, -12, -2, -342 ,-86 ,16820 ,10 ,-4 ,4, 27445.3312, 27906.5669
11679, 136, -689, 16824, 1, -11, -3, -340 ,-90 ,16843 ,14 ,-5 ,3, 27612.5133, 27761.6888
11687, 172, -697, 16780, 1, -13, -4, -365 ,-84 ,16833 ,14 ,-4 ,2, 27702.0782, 27804.1631
11694, 182, -718, 16734, 1, -13, -4, -390 ,-60 ,16835 ,14 ,-5 ,1, 27640.7152, 27746.6506
11702, 182, -717, 16734, 1, -13, -4, -366 ,-71 ,16794 ,12 ,-6 ,-1, 27552.9683, 27879.8193
11710, 173, -717, 16702, 5, -11, -6, -357 ,-48 ,16746 ,10 ,-5 ,-2, 27550.0715, 27804.4850
11718, 155, -713, 16688, 9, -10, -5, -366 ,-48 ,16746 ,10 ,-5 ,-2, 27545.9349, 27853.8704
11726, 190, -737, 16697, 11, -11, -7, -366 ,-11 ,16724 ,7 ,-5 ,-2, 27659.7410, 27809.5484
11734, 205, -728, 16710, 13, -11, -7, -395 ,10 ,16714 ,6 ,-5 ,-2, 27629.4202, 27825.5910
11741, 203, -718, 16726, 12, -12, -6, -391 ,31 ,16734 ,4 ,-6 ,-2, 27610.4927, 27776.8910
11749, 194, -686, 16765, 12, -12, -6, -394 ,-25 ,16759 ,4 ,-6 ,-1, 27534.0855, 27874.0287
11757, 180, -650, 16805, 11, -12, -6, -381 ,-75 ,16796 ,4 ,-5 ,-1, 27541.8073, 27745.0889
11765, 196, -650, 16805, 11, -12, -7, -376 ,-40 ,16841 ,6 ,-4 ,-1, 27509.2751, 27800.7716
11773, 196, -649, 16799, 9, -12, -6, -397 ,-40 ,16841 ,6 ,-4 ,-1, 27574.5898, 27765.5095
11781, 196, -705, 16786, 8, -11, -5, -397 ,231 ,16843 ,8 ,-5 ,-1, 27780.0411, 27818.3550
11789, 216, -719, 16763, 6, -11, -5, -414 ,11 ,16843 ,8 ,-5 ,1, 27720.2159, 27796.1761
11796, 191, -713, 16753, 4, -11, -4, -406 ,-6 ,16808 ,10 ,-5 ,2, 27604.6515, 27771.0199
11804, 197, -721, 16716, 4, -10, -4, -400 ,-32 ,16765 ,12 ,-6 ,2, 27505.4932, 27863.3058
11812, 216, -715, 16696, 4, -10, -4, -408 ,-21 ,16729 ,11 ,-8 ,1, 27640.8106, 27844.5274
11820, 234, -728, 16696, 4, -10, -4, -415 ,-27 ,16735 ,9 ,-7 ,0, 27605.6230, 27826.5893
11827, 234, -728, 16716, 7, -9, -4, -415 ,-1 ,16735 ,9 ,-7 ,1, 27647.1764, 27774.3787
11835, 223, -727, 16752, 10, -10, -4, -415 ,-1 ,16734 ,6 ,-8 ,1, 27690.9381, 27877.4947
11843, 224, -737, 16769, 10, -11, -4, -412 ,33 ,16746 ,5 ,-7 ,1, 27660.1881, 27824.1962
11850, 221, -747, 16775, 9, -11, -4, -408 ,28 ,16783 ,6 ,-7 ,1, 27664.1905, 27746.0188
11858, 170, -745, 16794, 9, -12, -4, -394 ,-5 ,16819 ,6 ,-6 ,0, 27522.4686, 27904.0217
11866, 183, -713, 16802, 8, -11, -4, -396 ,-9 ,16832 ,8 ,-6 ,0, 27715.3403, 27837.8367
11873, 183, -713, 16802, 8, -11, -4, -379 ,-26 ,16864 ,11 ,-6 ,0, 27666.9413, 27700.8832
11881, 173, -687, 16802, 5, -10, -3, -360 ,-23 ,16837 ,11 ,-6 ,1, 27634.2422, 27818.3609
11889, 166, -679, 16803, 3, -9, -4, -360 ,-23 ,16837 ,14 ,-7 ,1, 27591.4162, 27711.1560
11897, 152, -708, 16766, 1, -10, -3, -366 ,-43 ,16806 ,16 ,-6 ,1, 27717.1880, 27873.9721
11905, 146, -710, 16736, 2, -10, -5, -356 ,-74 ,16764 ,15 ,-5 ,1, 27662.1431, 27868.5480
11912, 181, -733, 16703, 4, -11, -5, -373 ,10 ,16746 ,12 ,-5 ,1, 27585.2919, 27794.6711
11920, 218, -756, 16686, 10, -11, -4, -414 ,39 ,16702 ,7 ,-5 ,0, 27628.8211, 27808.8510
11928, 218, -756, 16686, 10, -11, -3, -415 ,26 ,16688 ,2 ,-5 ,0, 27592.7782, 27846.8043
11936, 209, -755, 16702, 14, -12, -3, -408 ,1 ,16735 ,2 ,-5 ,0, 27663.7405, 27786.6781
11943, 208, -726, 16724, 15, -13, -3, -408 ,1 ,16735 ,0 ,-5 ,0, 27591.8573, 27803.7578
11951, 230, -726, 16738, 17, -13, -2, -411 ,0 ,16778 ,-1 ,-5 ,0, 27601.8232, 27823.2068
11959, 219, -688, 16766, 16, -13, -3, -408 ,-4 ,16821 ,-1 ,-6 ,0, 27689.3497, 27794.8558
