time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
6820,0.05,1.02,0.11,-0.61,1.43,-1.19,0.03,-0.01,1.07,-1.28,0.89,-0.34,16634825
6831,0.05,1.02,0.11,-0.27,1.74,-1.10,0.03,-0.01,1.07,-0.85,0.61,-0.27,16634989
6841,0.05,1.02,0.10,-2.17,1.56,-0.67,0.03,-0.01,1.07,-1.07,0.76,-0.40,16635903
6851,0.05,1.02,0.10,-2.84,2.72,-1.56,0.03,-0.01,1.07,-0.92,0.85,-0.55,16635836
6860,0.05,1.02,0.11,-1.56,2.11,-1.59,0.03,-0.01,1.07,-1.10,0.58,-0.37,16636525
6871,0.05,1.02,0.10,-2.08,2.53,-1.62,0.03,-0.01,1.07,-0.95,0.61,-0.70,16633941
6881,0.06,1.02,0.10,-2.53,2.26,-1.62,0.03,-0.01,1.07,-0.89,0.82,-0.49,16633536
6892,0.05,1.02,0.10,-3.39,2.32,-1.68,0.03,-0.01,1.07,-1.31,0.70,-0.24,16635596
6904,0.06,1.01,0.10,-3.78,2.01,-2.08,0.03,-0.01,1.07,-1.43,0.85,-0.27,16634937
6916,0.05,1.02,0.11,-3.69,2.47,-1.98,0.03,-0.01,1.07,-0.67,0.79,-0.37,16632458
6928,0.05,1.02,0.11,-2.04,2.14,-1.62,0.03,-0.01,1.07,-1.01,0.82,-0.55,16632691
6939,0.05,1.03,0.11,-1.28,2.08,-1.22,0.03,-0.01,1.07,-0.98,0.79,-0.40,16633944
6950,0.05,1.03,0.11,-1.04,2.29,-1.13,0.03,-0.01,1.07,-1.10,0.89,-0.40,16633464
6963,0.05,1.02,0.11,-1.86,2.17,-1.22,0.03,-0.01,1.07,-1.28,1.01,-0.21,16635103
6974,0.05,1.02,0.10,-3.23,1.65,-1.40,0.03,-0.01,1.07,-1.16,0.67,-0.27,16636660
6986,0.05,1.02,0.10,-3.05,2.11,-2.08,0.03,-0.01,1.07,-1.19,0.73,-0.55,16633968
6998,0.05,1.02,0.10,-2.99,2.20,-1.46,0.03,-0.01,1.07,-1.01,0.64,-0.37,16632836
7010,0.05,1.02,0.11,-2.17,2.26,-1.62,0.03,-0.01,1.07,-0.89,0.79,-0.27,16631801
7021,0.05,1.02,0.11,-1.77,2.26,-1.10,0.03,-0.01,1.07,-1.07,0.49,-0.31,16632963
7032,0.05,1.02,0.11,-1.59,2.17,-1.19,0.03,-0.01,1.07,-1.01,0.76,-0.52,16631101
7045,0.05,1.02,0.11,-2.04,2.23,-1.46,0.03,-0.01,1.07,-0.95,0.37,-0.31,16632951
7056,0.05,1.02,0.10,-2.90,2.11,-1.53,0.03,-0.01,1.07,-1.22,0.79,-0.34,16635094
7068,0.05,1.02,0.10,-2.78,2.14,-1.68,0.03,-0.01,1.07,-1.13,0.67,-0.43,16634905
7079,0.05,1.02,0.10,-2.53,2.17,-1.62,0.03,-0.01,1.07,-1.10,0.43,-0.24,16633952
7092,0.05,1.02,0.11,-1.89,2.08,-1.46,0.03,-0.01,1.07,-0.98,0.92,-0.18,16633988
7103,0.05,1.02,0.11,-1.77,2.32,-1.53,0.03,-0.01,1.07,-1.04,0.73,-0.43,16633882
7114,0.05,1.02,0.11,-1.95,2.20,-1.59,0.03,-0.01,1.07,-0.98,0.58,-0.70,16632404
7127,0.05,1.02,0.10,-2.29,2.23,-1.50,0.03,-0.01,1.07,-0.85,0.55,-0.37,16633457
7138,0.05,1.02,0.10,-2.87,1.98,-1.62,0.03,-0.01,1.07,-0.98,0.89,-0.43,16634772
7150,0.05,1.02,0.11,-2.41,2.11,-1.68,0.03,-0.01,1.07,-1.10,0.85,-0.40,16633057
7161,0.05,1.02,0.11,-2.20,2.35,-1.53,0.03,-0.01,1.07,-1.19,0.76,-0.18,16631999
7174,0.05,1.02,0.11,-1.92,2.11,-1.31,0.03,-0.01,1.07,-1.37,0.92,-0.31,16633421
7185,0.05,1.02,0.11,-2.11,2.29,-1.25,0.03,-0.01,1.07,-1.13,0.52,-0.27,16633102
7196,0.05,1.02,0.11,-2.32,2.20,-1.50,0.03,-0.01,1.07,-1.01,0.64,-0.37,16631346
7208,0.05,1.02,0.11,-2.44,2.04,-1.46,0.03,-0.01,1.07,-1.22,0.76,-0.27,16632959
7220,0.05,1.02,0.11,-2.56,2.08,-1.53,0.03,-0.01,1.07,-1.07,0.61,-0.27,16634489
7232,0.05,1.02,0.11,-2.32,2.11,-1.43,0.03,-0.01,1.07,-1.13,0.76,-0.27,16634036
7243,0.05,1.02,0.11,-2.01,2.32,-1.34,0.03,-0.01,1.07,-1.34,0.64,-0.18,16633707
7256,0.05,1.02,0.11,-2.32,1.98,-1.37,0.03,-0.01,1.07,-1.10,0.64,-0.31,16633393
7267,0.05,1.02,0.11,-2.23,2.01,-1.40,0.03,-0.01,1.07,-1.07,0.79,-0.31,16633477
7278,0.05,1.02,0.11,-2.20,2.04,-1.68,0.03,-0.01,1.07,-1.28,0.76,-0.12,16632139
7290,0.05,1.02,0.11,-2.47,2.04,-1.40,0.03,-0.01,1.07,-1.25,0.64,-0.15,16633557
7302,0.05,1.02,0.11,-2.38,2.08,-1.50,0.03,-0.01,1.07,-1.07,0.70,-0.46,16634254
7314,0.05,1.02,0.11,-2.29,2.44,-1.43,0.03,-0.01,1.07,-1.10,0.73,-0.27,16636682
7325,0.05,1.02,0.11,-2.11,2.35,-1.46,0.03,-0.01,1.07,-1.28,0.82,-0.40,16635572
7337,0.05,1.02,0.11,-2.35,2.11,-1.46,0.03,-0.01,1.07,-1.13,0.58,-0.27,16635313
7349,0.05,1.02,0.11,-2.35,1.95,-1.46,0.03,-0.01,1.07,-1.13,0.64,-0.34,16633926
7360,0.05,1.02,0.11,-2.23,2.38,-1.62,0.03,-0.01,1.07,-1.01,0.76,-0.37,16632496
7372,0.05,1.02,0.10,-2.38,2.11,-1.62,0.03,-0.01,1.07,-1.28,0.82,-0.18,16634591
7384,0.05,1.02,0.11,-2.23,2.23,-1.22,0.03,-0.01,1.07,-1.04,0.82,-0.40,16634533
7396,0.05,1.02,0.11,-2.01,2.26,-1.40,0.03,-0.01,1.07,-0.92,0.70,-0.40,16633119
7407,0.05,1.02,0.10,-2.26,2.04,-1.25,0.03,-0.01,1.07,-1.16,0.67,-0.24,16634434
7419,0.05,1.02,0.11,-2.20,2.11,-1.43,0.03,-0.01,1.07,-1.19,0.76,-0.37,16635016
7431,0.05,1.02,0.11,-2.20,2.01,-1.50,0.03,-0.01,1.07,-1.04,0.79,-0.27,16634954
7443,0.05,1.02,0.11,-1.98,2.32,-1.46,0.03,-0.01,1.07,-1.19,0.79,-0.43,16633638
7454,0.05,1.02,0.11,-2.04,2.26,-1.28,0.03,-0.01,1.07,-1.37,0.82,-0.18,16631974
7465,0.05,1.02,0.11,-1.98,2.08,-1.37,0.03,-0.01,1.07,-1.10,0.46,-0.31,16634110
7478,0.05,1.02,0.11,-2.41,1.92,-1.46,0.03,-0.01,1.07,-1.22,0.70,-0.27,16637058
7489,0.05,1.02,0.11,-2.38,2.29,-1.28,0.03,-0.01,1.07,-1.28,0.70,-0.40,16637490
7501,0.05,1.02,0.11,-2.11,2.23,-1.53,0.03,-0.01,1.07,-1.01,0.73,-0.43,16637411
7513,0.05,1.02,0.11,-2.29,2.23,-1.31,0.03,-0.01,1.07,-1.13,0.82,-0.27,16634077
7525,0.05,1.02,0.11,-2.17,2.20,-1.77,0.03,-0.01,1.07,-1.19,0.70,-0.31,16634745
7536,0.05,1.02,0.11,-2.11,2.23,-1.16,0.03,-0.01,1.07,-1.19,0.79,-0.46,16633332
7547,0.05,1.02,0.11,-2.41,1.98,-1.37,0.03,-0.01,1.07,-1.16,0.89,-0.09,16632950
7560,0.05,1.02,0.11,-2.41,2.01,-1.46,0.03,-0.01,1.07,-1.10,0.79,-0.40,16632881
7571,0.05,1.02,0.11,-2.26,2.11,-1.43,0.03,-0.01,1.07,-1.40,0.85,-0.52,16633285
7583,0.05,1.02,0.11,-2.29,2.14,-1.43,0.03,-0.01,1.07,-0.85,0.67,-0.06,16634125
7595,0.05,1.02,0.11,-2.11,2.26,-1.46,0.03,-0.01,1.07,-1.25,0.67,-0.27,16632763
7607,0.05,1.02,0.11,-1.95,2.14,-1.43,0.03,-0.01,1.07,-1.34,0.73,-0.34,16633107
7618,0.05,1.02,0.11,-2.41,2.38,-1.40,0.03,-0.01,1.07,-1.10,0.82,-0.37,16636243
7629,0.05,1.02,0.11,-2.20,2.14,-1.37,0.03,-0.01,1.07,-1.22,0.79,-0.27,16637660
7642,0.05,1.02,0.11,-2.38,2.23,-1.31,0.03,-0.01,1.07,-1.16,0.85,-0.40,16636642
7653,0.05,1.02,0.11,-2.26,2.20,-1.50,0.03,-0.01,1.07,-1.10,0.64,-0.34,16635822
7665,0.05,1.02,0.11,-2.23,2.20,-1.34,0.03,-0.01,1.07,-1.10,0.70,-0.61,16633617
7676,0.05,1.02,0.11,-2.14,1.95,-1.53,0.03,-0.01,1.07,-1.10,0.64,-0.18,16632722
7689,0.05,1.02,0.11,-2.35,2.35,-1.34,0.03,-0.01,1.07,-1.25,0.85,-0.37,16633027
7700,0.05,1.02,0.11,-2.20,2.29,-1.50,0.03,-0.01,1.07,-1.04,0.70,-0.49,16635804
7711,0.05,1.02,0.11,-2.20,2.04,-1.25,0.03,-0.01,1.07,-1.13,0.67,-0.31,16635870
7724,0.05,1.02,0.11,-2.29,2.17,-1.50,0.03,-0.01,1.07,-1.01,0.92,-0.46,16635811
7735,0.05,1.02,0.11,-2.32,2.17,-1.37,0.03,-0.01,1.07,-0.95,0.76,-0.40,16636529
7747,0.05,1.02,0.11,-2.50,2.14,-1.40,0.03,-0.01,1.07,-1.10,0.85,-0.49,16636720
7758,0.05,1.02,0.11,-2.14,2.59,-1.31,0.03,-0.01,1.07,-1.10,0.58,-0.40,16634879
7771,0.05,1.02,0.11,-2.23,2.29,-1.40,0.03,-0.01,1.07,-1.25,0.61,-0.40,16632527
7782,0.05,1.02,0.11,-2.20,2.11,-1.56,0.03,-0.01,1.07,-1.19,0.85,-0.24,16633108
7793,0.05,1.02,0.11,-2.20,2.08,-1.37,0.03,-0.01,1.07,-0.76,0.98,-0.34,16633058
7805,0.05,1.02,0.11,-2.14,2.20,-1.13,0.03,-0.01,1.07,-1.07,0.70,-0.21,16634580
7817,0.05,1.02,0.11,-2.17,2.08,-1.50,0.03,-0.01,1.07,-1.13,0.55,-0.37,16637374
7829,0.05,1.02,0.11,-2.38,2.35,-1.34,0.03,-0.01,1.07,-1.28,0.82,-0.21,16634986
7840,0.05,1.02,0.11,-2.04,2.41,-1.65,0.03,-0.01,1.07,-1.19,0.70,-0.34,16634697
7853,0.05,1.02,0.11,-2.17,2.17,-1.65,0.03,-0.01,1.07,-0.92,1.16,-0.46,16634610
7864,0.05,1.02,0.11,-2.29,2.38,-1.40,0.03,-0.01,1.07,-1.19,0.61,-0.15,16633355
7875,0.05,1.02,0.11,-2.29,1.98,-1.19,0.03,-0.01,1.07,-1.31,0.52,-0.37,16632564
7887,0.05,1.02,0.10,-2.26,2.08,-1.34,0.03,-0.01,1.07,-1.13,1.01,-0.49,16632709
7899,0.05,1.02,0.10,-2.23,2.23,-1.07,0.03,-0.01,1.07,-1.19,0.73,-0.37,16635627
7911,0.05,1.02,0.10,-2.29,2.29,-1.28,0.03,-0.01,1.07,-1.13,0.79,-0.09,16636861
7922,0.05,1.02,0.10,-2.14,2.47,-1.43,0.03,-0.01,1.07,-1.22,0.89,-0.21,16632405
7934,0.05,1.02,0.10,-2.32,2.35,-1.50,0.03,-0.01,1.07,-1.13,0.76,-0.21,16632925
7946,0.05,1.02,0.10,-2.26,2.17,-1.31,0.03,-0.01,1.07,-1.22,0.79,-0.27,16633839
7957,0.05,1.02,0.11,-2.20,2.08,-1.40,0.03,-0.01,1.07,-1.04,0.79,0.06,16636636
7969,0.05,1.02,0.11,-2.38,2.38,-1.46,0.03,-0.01,1.07,-1.07,0.49,-0.43,16634745
7981,0.05,1.02,0.11,-2.20,2.26,-1.46,0.03,-0.01,1.07,-1.10,0.70,-0.34,16634537
7993,0.05,1.02,0.11,-2.26,2.29,-1.40,0.03,-0.01,1.07,-1.01,0.58,-0.09,16633178
8004,0.05,1.02,0.11,-2.26,2.14,-1.37,0.03,-0.01,1.07,-1.25,0.82,-0.27,16635025
8016,0.05,1.02,0.11,-2.14,2.17,-1.34,0.03,-0.01,1.07,-1.19,0.85,-0.55,16636039
8028,0.05,1.02,0.11,-2.26,2.11,-1.40,0.03,-0.01,1.07,-1.01,0.76,-0.21,16634184
8039,0.05,1.02,0.11,-2.17,2.17,-1.46,0.03,-0.01,1.07,-1.34,0.40,-0.18,16633236
8051,0.05,1.02,0.10,-2.32,2.35,-1.62,0.03,-0.01,1.07,-1.07,0.64,-0.46,16635359
8062,0.05,1.02,0.11,-2.32,2.26,-1.31,0.03,-0.01,1.07,-1.19,0.40,-0.06,16636470
8075,0.05,1.02,0.10,-2.29,2.17,-1.53,0.03,-0.01,1.07,-0.89,0.70,-0.15,16633446
8086,0.05,1.02,0.11,-2.26,2.26,-1.53,0.03,-0.01,1.07,-1.04,0.70,-0.55,16633087
8098,0.05,1.02,0.11,-2.20,2.44,-1.40,0.03,-0.01,1.07,-1.10,0.73,-0.43,16633529
8110,0.05,1.02,0.11,-2.20,2.32,-1.43,0.03,-0.01,1.07,-1.04,0.61,-0.46,16633985
8122,0.05,1.02,0.11,-2.32,2.32,-1.71,0.03,-0.01,1.07,-0.95,0.61,-0.40,16633531
