time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
252290,0.05,1.02,0.11,-2.90,1.71,-1.92,0.03,-0.01,1.07,-1.25,0.70,-0.40,16637391
252300,0.05,1.02,0.11,-1.31,1.89,-1.34,0.03,-0.01,1.07,-1.13,0.49,-0.18,16635456
252310,0.05,1.03,0.12,1.28,2.59,-1.50,0.03,-0.01,1.07,-1.22,0.67,-0.06,16635462
252319,0.05,1.02,0.11,-0.12,2.14,-1.28,0.03,-0.01,1.07,-1.07,0.73,-0.24,16635324
252329,0.05,1.02,0.11,-0.85,2.20,-1.04,0.03,-0.01,1.07,-1.10,0.76,-0.27,16636675
252342,0.05,1.02,0.11,-1.43,2.11,-1.16,0.03,-0.01,1.07,-1.07,0.85,-0.31,16634377
252353,0.05,1.02,0.11,-2.47,2.11,-1.31,0.03,-0.01,1.07,-1.04,0.43,-0.09,16631900
252365,0.05,1.02,0.10,-3.17,2.20,-1.53,0.03,-0.01,1.07,-1.28,0.98,-0.31,16631606
252377,0.05,1.02,0.11,-2.01,2.17,-1.37,0.03,-0.01,1.07,-1.10,0.61,-0.40,16633733
252388,0.05,1.02,0.11,-1.16,1.95,-1.31,0.03,-0.01,1.07,-1.07,0.55,-0.34,16635413
252400,0.05,1.02,0.11,-1.89,2.50,-1.04,0.03,-0.01,1.07,-0.79,0.73,-0.27,16634952
252411,0.05,1.02,0.11,-2.62,2.17,-1.68,0.03,-0.01,1.07,-1.16,0.58,-0.09,16633184
252424,0.05,1.02,0.10,-3.08,2.20,-1.37,0.03,-0.01,1.07,-1.22,0.61,-0.43,16633625
252435,0.05,1.02,0.11,-2.35,2.04,-1.50,0.03,-0.01,1.07,-0.98,0.73,-0.61,16635366
252447,0.05,1.02,0.11,-1.71,2.41,-1.19,0.03,-0.01,1.07,-1.22,0.82,-0.12,16634443
252459,0.05,1.02,0.11,-1.95,2.26,-1.37,0.03,-0.01,1.07,-1.01,0.61,-0.37,16633568
252470,0.05,1.02,0.10,-2.62,2.20,-1.53,0.03,-0.01,1.07,-1.04,0.73,-0.24,16634421
252482,0.05,1.02,0.10,-2.81,1.98,-1.65,0.03,-0.01,1.07,-1.19,0.82,-0.43,16635580
252493,0.05,1.02,0.11,-2.41,1.92,-1.43,0.03,-0.01,1.07,-0.98,0.64,-0.18,16635682
