time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
573958,0.05,1.02,0.11,-1.16,1.98,-1.80,0.03,-0.01,1.07,-0.95,0.70,-0.09,16639937
573968,0.05,1.02,0.11,-2.04,2.53,-1.07,0.03,-0.01,1.07,-0.82,0.43,-0.34,16636670
573978,0.06,1.02,0.11,0.21,1.50,-1.89,0.03,-0.01,1.07,-1.04,0.82,-0.27,16635415
573988,0.05,1.02,0.11,-0.24,2.20,-1.83,0.03,-0.01,1.07,-1.13,0.76,-0.24,16635224
573999,0.05,1.02,0.10,-1.83,1.59,-1.71,0.03,-0.01,1.07,-0.98,0.89,-0.12,16633304
574011,0.05,1.02,0.10,-2.93,2.53,-1.53,0.03,-0.01,1.07,-1.13,0.79,-0.46,16632319
574022,0.05,1.02,0.11,-1.86,2.59,-1.53,0.03,-0.01,1.07,-0.73,0.49,-0.37,16634732
574034,0.05,1.02,0.11,-1.77,2.20,-1.46,0.03,-0.01,1.07,-0.89,0.70,-0.34,16636341
574046,0.05,1.02,0.10,-2.90,2.20,-1.46,0.03,-0.01,1.07,-1.13,0.46,-0.24,16633434
574057,0.05,1.02,0.10,-2.87,2.29,-1.65,0.03,-0.01,1.07,-1.19,0.73,-0.58,16632273
574069,0.05,1.02,0.11,-2.01,2.04,-1.65,0.03,-0.01,1.07,-1.16,0.55,-0.43,16632742
574081,0.05,1.02,0.11,-1.65,2.26,-1.34,0.03,-0.01,1.07,-1.07,0.55,-0.24,16636527
574093,0.05,1.02,0.11,-2.01,2.17,-1.37,0.03,-0.01,1.07,-0.92,0.49,-0.37,16637441
574104,0.05,1.02,0.10,-2.75,2.29,-1.62,0.03,-0.01,1.07,-1.13,0.70,-0.40,16634657
574116,0.05,1.02,0.11,-2.75,2.20,-1.56,0.03,-0.01,1.07,-1.31,0.73,-0.21,16633601
574128,0.05,1.02,0.11,-2.26,2.11,-1.62,0.03,-0.01,1.07,-1.07,0.49,-0.46,16634223
574140,0.05,1.02,0.11,-1.68,2.26,-1.46,0.03,-0.01,1.07,-1.07,0.64,-0.40,16633568
574151,0.05,1.02,0.11,-2.08,2.26,-1.19,0.03,-0.01,1.07,-1.10,0.64,-0.09,16634037
574162,0.05,1.02,0.11,-2.38,2.17,-1.62,0.03,-0.01,1.07,-1.10,0.58,-0.40,16636620
574175,0.05,1.02,0.11,-2.72,2.17,-1.53,0.03,-0.01,1.07,-1.19,0.61,-0.18,16636488
574186,0.05,1.02,0.11,-2.35,2.23,-1.59,0.03,-0.01,1.07,-1.19,0.82,-0.24,16634635
574198,0.05,1.02,0.11,-1.95,2.23,-1.34,0.03,-0.01,1.07,-0.70,0.64,-0.40,16634431
574210,0.05,1.02,0.11,-2.01,2.26,-1.43,0.03,-0.01,1.07,-1.34,0.76,-0.67,16634573
574222,0.05,1.02,0.10,-2.32,2.29,-1.50,0.03,-0.01,1.07,-1.28,0.76,-0.31,16633710
574233,0.05,1.02,0.10,-2.38,2.20,-1.46,0.03,-0.01,1.07,-0.89,0.55,-0.12,16633213
574244,0.05,1.02,0.11,-1.92,2.17,-1.77,0.03,-0.01,1.07,-1.19,0.49,-0.43,16635027
574257,0.05,1.02,0.11,-2.20,2.11,-1.46,0.03,-0.01,1.07,-1.16,0.67,-0.27,16632785
