time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
3090,0.01,1.03,-0.12,-11.54,10.13,-1.04,-0.30,-1.00,0.19,-1.74,-11.72,-8.03,16640232
3100,0.01,1.04,-0.11,-13.61,11.08,3.17,-0.29,-1.00,0.19,-0.95,-10.62,-10.68,16639475
3110,0.02,1.04,-0.10,-14.28,11.14,5.22,-0.28,-1.00,0.19,-3.36,-6.68,-9.58,16640420
3121,0.04,1.03,-0.08,-15.32,11.78,3.57,-0.26,-0.99,0.18,-4.30,-4.94,-10.04,16641728
3131,0.05,1.02,-0.06,-16.60,12.63,0.31,-0.23,-0.97,0.17,-8.18,-2.87,-6.29,16638510
3141,0.06,1.01,-0.03,-15.38,12.79,-3.36,-0.21,-0.96,0.17,-12.79,-3.72,-6.32,16637508
3152,0.06,1.01,-0.01,-14.71,13.00,-7.05,-0.19,-0.95,0.16,-14.50,-3.88,-4.43,16638957
3164,0.07,1.01,0.01,-13.34,11.87,-8.82,-0.17,-0.94,0.15,-14.37,-3.02,-3.11,16636720
3176,0.08,1.01,0.03,-10.68,8.12,-9.34,-0.14,-0.94,0.13,-11.32,0.21,-4.70,16638147
3187,0.09,1.01,0.05,-8.64,3.39,-7.54,-0.13,-0.94,0.11,-11.05,1.86,-3.69,16635859
3198,0.08,1.02,0.06,-6.50,0.37,-5.40,-0.13,-0.95,0.10,-6.96,5.22,-2.78,16633632
3211,0.06,1.01,0.07,-5.40,0.55,-6.62,-0.13,-0.95,0.09,-9.06,3.60,0.73,16633949
3222,0.05,1.01,0.06,-4.64,2.11,-12.60,-0.14,-0.94,0.09,-15.78,1.98,3.91,16632765
3234,0.04,1.00,0.05,-6.10,5.25,-23.65,-0.16,-0.94,0.10,-26.67,3.11,4.88,16634233
3246,0.04,1.01,0.04,-9.19,8.54,-33.57,-0.16,-0.96,0.11,-37.32,0.92,4.88,16636203
3258,0.03,1.01,0.04,-11.66,11.54,-39.15,-0.17,-0.98,0.11,-44.62,0.79,5.13,16637439
3269,0.02,1.02,0.03,-15.90,14.01,-41.41,-0.17,-0.99,0.11,-53.53,-0.15,2.78,16638508
3281,0.02,1.01,0.03,-20.29,16.94,-45.99,-0.16,-0.98,0.12,-67.05,0.95,1.16,16635751
3293,0.02,1.00,0.03,-23.80,20.60,-58.72,-0.17,-0.97,0.13,-80.78,-7.78,2.17,16637229
3305,0.04,1.00,0.02,-24.63,24.54,-75.47,-0.16,-0.98,0.11,-82.70,-5.98,18.95,16635999
3316,0.05,1.02,0.01,-22.74,26.06,-83.98,-0.17,-1.00,0.11,-78.58,-12.05,24.60,16640655
3328,0.04,1.05,0.00,-19.50,24.75,-81.79,-0.18,-1.00,0.11,-83.28,-13.64,26.52,16640579
3340,0.01,1.07,0.01,-13.76,24.05,-74.13,-0.21,-1.00,0.09,-73.00,-12.70,17.30,16636256
3351,-0.04,1.08,0.01,-11.20,26.52,-66.38,-0.22,-0.98,0.07,-71.90,-16.75,20.97,16639203
3363,-0.07,1.08,0.03,-4.91,29.48,-63.08,-0.22,-0.97,0.03,-56.27,-20.60,31.74,16639362
3375,-0.09,1.09,0.03,5.83,32.56,-61.80,-0.22,-0.96,0.00,-44.04,-26.76,50.57,16638657
3387,-0.13,1.08,0.03,14.22,37.20,-60.76,-0.23,-0.93,-0.02,-38.36,-36.59,53.07,16639624
3398,-0.17,1.09,0.03,22.98,41.44,-54.35,-0.25,-0.91,-0.02,-38.06,-44.95,43.98,16639190
3410,-0.20,1.09,0.02,26.40,42.51,-40.65,-0.30,-0.93,-0.03,-32.29,-42.39,53.74,16638222
3422,-0.22,1.08,0.01,29.60,40.86,-20.29,-0.31,-0.96,-0.06,-1.19,-26.49,36.71,16640462
3433,-0.22,1.10,0.00,32.93,36.59,5.43,-0.34,-0.98,-0.07,22.31,-35.00,22.55,16640133
3445,-0.22,1.12,-0.01,37.87,31.92,31.92,-0.35,-1.01,-0.08,49.71,-36.04,17.73,16639941
3457,-0.22,1.14,-0.02,43.88,26.92,60.24,-0.35,-1.03,-0.08,83.01,-38.39,14.74,16643389
3469,-0.21,1.12,-0.03,50.20,23.41,79.90,-0.35,-1.01,-0.09,108.37,-38.97,19.65,16644589
3480,-0.20,1.07,-0.04,52.49,21.88,89.02,-0.34,-0.96,-0.06,111.54,-40.41,20.32,16643083
3492,-0.19,1.03,-0.05,52.03,21.67,91.13,-0.36,-0.91,-0.03,107.18,-41.44,9.34,16642488
3504,-0.17,1.00,-0.06,51.15,19.10,99.58,-0.36,-0.91,-0.02,117.19,-36.53,-4.33,16640828
3516,-0.16,0.99,-0.06,48.19,14.19,119.08,-0.35,-0.92,-0.00,123.57,-32.87,-13.64,16640224
3527,-0.14,0.97,-0.06,42.05,7.78,139.83,-0.34,-0.94,-0.00,141.08,-32.41,-24.26,16642399
3538,-0.11,0.94,-0.07,34.85,2.04,155.82,-0.32,-0.96,0.01,151.15,-33.33,-28.72,16643010
3551,-0.09,0.92,-0.09,25.91,-3.42,168.00,-0.32,-0.96,0.03,160.43,-34.03,-37.41,16644738
