time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
11314,0.27,-1.06,0.13,7.51,4.46,-0.34,0.06,0.98,-0.08,5.83,2.53,-0.92,16456724
11324,0.28,-1.06,0.14,8.48,6.26,1.22,0.07,0.98,-0.07,5.10,3.51,-1.10,16456644
11334,0.27,-1.00,0.16,6.68,6.50,-2.78,0.07,0.98,-0.07,3.63,3.57,-1.10,16456871
11345,0.25,-0.93,0.17,2.08,5.37,-7.84,0.07,0.98,-0.07,3.17,3.78,-1.31,16456942
11358,0.23,-0.87,0.18,-2.26,2.81,-9.49,0.08,0.98,-0.07,2.17,4.85,-1.98,16456884
11370,0.22,-0.85,0.17,-5.25,2.01,-8.88,0.07,0.98,-0.08,1.04,4.33,-2.72,16456987
11382,0.22,-0.87,0.17,-7.17,1.46,-4.12,0.06,0.99,-0.08,0.98,1.59,-4.27,16456891
11394,0.22,-0.89,0.16,-8.15,0.06,-1.46,0.07,0.99,-0.09,0.18,2.59,-4.97,16456936
11406,0.21,-0.91,0.15,-8.24,-2.69,-4.09,0.08,1.00,-0.09,-0.46,5.52,-5.28,16457061
11418,0.20,-0.95,0.14,-4.46,-3.97,-8.30,0.08,0.99,-0.09,-0.12,7.08,-5.46,16457077
11429,0.21,-1.00,0.14,1.01,-4.67,-9.31,0.07,0.98,-0.10,0.43,9.03,-5.95,16457172
11442,0.21,-1.03,0.14,5.00,-4.70,-8.64,0.05,0.98,-0.10,0.21,7.45,-4.18,16457319
11454,0.22,-1.03,0.13,5.83,-3.85,-3.63,0.03,0.99,-0.11,-0.49,4.12,-3.48,16457299
11465,0.22,-1.00,0.13,4.12,-3.54,-0.43,0.03,1.00,-0.12,-1.37,3.75,-2.69,16457093
11478,0.21,-0.96,0.12,0.31,-4.03,-0.09,0.02,1.01,-0.12,-1.62,3.54,-2.11,16457010
11490,0.21,-0.93,0.11,-3.17,-4.15,1.62,0.03,1.02,-0.13,-1.59,5.52,-1.22,16456949
11501,0.22,-0.93,0.11,-4.61,-3.66,2.78,0.03,1.02,-0.13,-1.95,6.20,-0.18,16456972
11513,0.22,-0.94,0.10,-5.92,-3.66,4.94,0.02,1.02,-0.13,-2.59,5.55,1.31,16457109
11526,0.22,-0.96,0.09,-5.34,-4.06,5.07,0.02,1.02,-0.13,-2.17,5.22,1.86,16457131
11537,0.22,-1.00,0.08,-1.65,-4.24,3.94,0.02,1.02,-0.13,-1.37,3.97,2.08,16457280
11549,0.22,-1.03,0.07,1.65,-5.16,4.33,0.03,1.01,-0.14,-0.61,3.39,2.38,16457333
11561,0.22,-1.03,0.07,2.14,-5.71,5.37,0.03,1.02,-0.14,-0.52,3.57,2.50,16457214
11574,0.23,-1.00,0.07,0.06,-6.81,6.23,0.04,1.02,-0.14,-0.58,4.91,2.47,16457160
