time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
526865,0.17,1.00,0.02,-8.00,2.44,-1.37,-0.57,1.49,1.40,-10.31,-2.99,-6.29,16610820
526877,0.18,0.99,0.03,-5.58,1.10,-1.77,-0.55,1.50,1.40,-13.31,-4.64,-4.58,16610360
526888,0.19,0.99,0.04,-6.50,-0.49,-1.31,-0.55,1.50,1.35,-14.07,-2.17,-3.63,16608989
526901,0.19,1.00,0.04,-8.64,-1.80,-0.82,-0.59,1.51,1.33,-14.95,-0.61,-4.73,16606923
526912,0.19,1.00,0.04,-9.03,-3.05,-0.73,-0.58,1.49,1.32,-12.42,-4.61,-1.40,16607883
526924,0.19,1.02,0.06,-6.04,-3.45,-0.92,-0.58,1.49,1.27,-11.17,-5.83,-2.23,16609843
526936,0.18,1.04,0.07,-3.02,-2.78,-2.17,-0.59,1.48,1.27,-6.96,-5.19,-1.74,16610697
526948,0.17,1.05,0.08,-1.25,-1.22,-3.14,-0.59,1.50,1.26,-2.96,-5.13,-3.11,16610723
526959,0.15,1.05,0.08,1.13,0.73,-4.33,-0.56,1.50,1.25,0.40,-5.74,-2.59,16609684
526970,0.13,1.05,0.08,1.80,2.56,-2.93,-0.56,1.52,1.26,3.33,-3.30,-1.59,16608261
526983,0.13,1.04,0.08,1.62,3.78,-2.99,-0.54,1.52,1.32,4.39,-0.85,-1.65,16609017
526994,0.14,1.02,0.08,0.76,3.27,-2.78,-0.54,1.51,1.36,0.85,1.59,-1.65,16609206
527006,0.16,1.01,0.07,-1.34,1.89,-2.66,-0.55,1.51,1.37,-0.89,2.50,-2.87,16608768
527017,0.17,0.99,0.06,-3.54,0.40,-3.51,-0.56,1.50,1.38,-2.75,-0.37,-3.60,16610459
527030,0.18,1.00,0.05,-4.30,-1.22,-4.64,-0.54,1.49,1.37,-3.97,-2.01,-4.27,16609613
527041,0.18,1.00,0.05,-4.85,-2.35,-4.43,-0.55,1.50,1.36,-5.55,-4.73,-2.14,16608792
527053,0.18,1.02,0.05,-4.00,-2.56,-3.48,-0.55,1.48,1.32,-6.23,-6.65,-3.75,16608900
527065,0.16,1.04,0.05,-1.71,-1.56,-3.81,-0.56,1.48,1.30,-4.79,-5.65,-3.57,16607304
527076,0.14,1.06,0.05,0.67,0.92,-3.72,-0.56,1.48,1.31,-5.40,-3.94,-5.62,16608985
527088,0.13,1.06,0.05,1.74,2.17,-3.72,-0.53,1.50,1.34,-5.49,-2.84,-5.74,16609507
527099,0.12,1.04,0.05,0.82,3.23,-2.04,-0.54,1.50,1.38,-6.44,0.92,-7.63,16610171
527112,0.12,1.03,0.05,0.06,4.52,-1.65,-0.57,1.51,1.36,-7.93,2.81,-6.20,16609397
527123,0.12,1.02,0.05,-0.46,5.00,-2.32,-0.58,1.53,1.34,-8.18,4.46,-6.59,16610691
527135,0.13,1.02,0.05,-1.01,5.83,-3.05,-0.60,1.53,1.33,-5.89,1.40,-6.35,16610421
527147,0.14,1.02,0.06,-1.59,5.52,-3.39,-0.58,1.52,1.34,-5.71,0.79,-7.20,16611256
527159,0.16,1.01,0.06,-2.53,4.24,-3.91,-0.56,1.52,1.38,-5.86,2.04,-9.28,16610270
527170,0.18,1.01,0.06,-4.03,2.20,-3.72,-0.59,1.52,1.36,-6.47,1.71,-8.15,16610032
527181,0.19,1.01,0.06,-4.00,1.37,-4.85,-0.61,1.51,1.34,-6.62,-1.56,-8.33,16611348
527194,0.18,1.03,0.06,-3.48,1.65,-5.89,-0.62,1.52,1.35,-7.26,-6.93,-9.25,16611755
527205,0.17,1.05,0.06,-1.98,1.77,-4.36,-0.58,1.51,1.33,-7.75,-9.43,-7.72,16612776
527217,0.17,1.05,0.06,-1.46,1.10,-5.62,-0.53,1.52,1.33,-4.67,-11.02,-6.16,16616004
527228,0.17,1.05,0.07,-0.24,-0.55,-2.69,-0.47,1.51,1.33,-4.33,-10.93,-2.99,16614579
527241,0.16,1.03,0.06,-1.53,-1.13,-0.98,-0.47,1.50,1.36,-5.83,-2.47,-0.34,16610724
527252,0.14,1.02,0.06,-2.38,-0.64,1.46,-0.51,1.46,1.34,-6.47,3.27,-2.11,16609692
527264,0.12,1.00,0.06,-3.57,1.25,1.95,-0.57,1.48,1.33,-7.23,4.82,-1.65,16609471
527276,0.12,0.99,0.06,-4.67,2.90,-0.52,-0.58,1.48,1.31,-7.51,-1.28,-3.14,16609119
527288,0.12,0.99,0.06,-5.00,3.63,-1.65,-0.58,1.48,1.31,-6.59,-7.42,-4.67,16609654
527299,0.13,1.01,0.06,-3.88,3.63,-2.81,-0.57,1.49,1.28,-6.07,-7.54,-6.74,16609579
527310,0.15,1.02,0.07,-3.14,2.75,-3.75,-0.52,1.50,1.32,-6.04,-4.43,-8.54,16607857
527323,0.16,1.02,0.07,-2.20,1.89,-3.30,-0.53,1.49,1.31,-3.81,-0.09,-8.30,16607614
527334,0.16,1.02,0.07,-1.86,1.40,-3.05,-0.54,1.48,1.32,-2.38,-2.66,-7.42,16609003
527346,0.15,1.02,0.07,-1.80,1.46,-2.41,-0.54,1.48,1.30,-0.95,0.95,-6.23,16611461
527357,0.14,1.02,0.07,-1.50,2.87,-1.71,-0.53,1.46,1.28,-0.61,4.39,-6.23,16610556
527370,0.13,1.02,0.07,-0.85,4.12,-1.98,-0.55,1.47,1.31,-0.12,3.72,-5.95,16611296
527381,0.13,1.02,0.06,-0.03,4.70,-1.43,-0.54,1.46,1.35,1.92,2.72,-5.80,16612008
527393,0.13,1.02,0.06,-0.09,4.21,-0.79,-0.54,1.48,1.35,-0.18,3.27,-7.35,16609664
527405,0.14,1.00,0.06,-1.89,5.10,-2.53,-0.58,1.49,1.33,0.79,1.89,-8.73,16608924
527416,0.14,0.99,0.06,-4.18,6.01,-3.36,-0.61,1.50,1.31,0.67,0.82,-8.85,16611308
527428,0.14,0.98,0.06,-5.83,6.44,-4.64,-0.56,1.50,1.30,1.77,-6.04,-7.54,16608119
527439,0.16,0.99,0.07,-5.43,4.61,-3.30,-0.55,1.52,1.33,2.87,-6.29,-9.25,16607421
527452,0.18,1.01,0.07,-3.94,2.81,-1.59,-0.51,1.53,1.34,2.78,-1.80,-8.94,16607822
527463,0.20,1.03,0.07,-2.87,0.12,-1.74,-0.52,1.49,1.33,4.49,1.77,-9.19,16609106
527475,0.20,1.04,0.07,-2.20,-2.14,-1.80,-0.53,1.49,1.36,3.75,4.06,-8.00,16609788
527486,0.19,1.03,0.06,-2.44,-3.42,-1.92,-0.54,1.50,1.36,2.78,1.31,-5.74,16611383
527499,0.16,1.03,0.06,-2.29,-3.02,-1.37,-0.53,1.49,1.33,2.69,-2.75,-3.14,16611540
527510,0.13,1.04,0.06,-0.79,-0.70,0.03,-0.51,1.49,1.30,1.31,-1.01,-3.36,16609675
527521,0.10,1.04,0.06,0.21,2.44,0.21,-0.54,1.48,1.33,2.84,5.00,-4.36,16610249
527534,0.09,1.04,0.05,0.15,5.28,1.71,-0.58,1.49,1.35,3.48,6.53,-6.74,16608367
527545,0.09,1.03,0.05,-0.24,7.93,0.03,-0.63,1.49,1.36,1.62,3.36,-10.62,16607694
527557,0.10,1.03,0.04,-1.74,9.43,1.37,-0.60,1.49,1.37,-0.89,1.68,-13.79,16609606
527568,0.12,1.02,0.04,-2.20,9.43,1.25,-0.58,1.48,1.35,-3.08,2.47,-15.84,16608983
527581,0.14,1.02,0.04,-1.95,7.97,2.04,-0.54,1.49,1.33,-3.97,4.97,-15.96,16611468
527592,0.17,1.02,0.04,-2.35,5.40,2.11,-0.53,1.47,1.35,-3.45,12.91,-16.27,16610669
527604,0.18,1.01,0.04,-2.96,3.48,0.64,-0.54,1.47,1.37,-4.97,13.67,-14.28,16609829
527616,0.18,1.00,0.05,-4.55,1.71,0.49,-0.56,1.48,1.37,-4.49,11.14,-10.99,16610081
527627,0.17,0.98,0.05,-6.32,1.80,-0.55,-0.59,1.50,1.34,-5.71,6.41,-8.45,16611825
527639,0.15,0.98,0.05,-7.32,2.35,-0.27,-0.58,1.50,1.32,-4.43,-0.98,-5.77,16611325
527650,0.14,1.01,0.06,-5.04,2.96,-0.15,-0.58,1.51,1.28,-1.46,-3.11,-4.58,16608530
527663,0.14,1.03,0.07,-2.23,2.72,-0.89,-0.58,1.52,1.28,-0.06,-5.49,-3.81,16609129
527674,0.16,1.05,0.07,-0.98,1.37,-0.73,-0.57,1.52,1.34,2.59,-8.76,-3.20,16612726
527686,0.17,1.05,0.08,-0.24,-0.37,-3.72,-0.61,1.52,1.32,3.54,-10.93,-4.43,16610252
527697,0.18,1.05,0.07,0.43,-0.70,-6.35,-0.60,1.52,1.32,4.24,-17.00,-6.32,16609428
527710,0.17,1.04,0.07,0.82,-0.92,-7.23,-0.54,1.50,1.35,3.39,-17.64,-6.50,16609158
527721,0.15,1.03,0.06,0.21,-0.24,-5.65,-0.47,1.50,1.36,2.41,-10.01,-6.65,16609721
527732,0.13,1.01,0.06,-2.11,1.16,-2.47,-0.46,1.51,1.40,0.31,3.17,-4.27,16611136
527745,0.10,0.99,0.05,-5.00,3.27,-0.82,-0.50,1.49,1.37,-3.36,10.28,-4.70,16609848
527756,0.08,0.98,0.05,-6.99,5.34,-0.82,-0.51,1.50,1.35,-6.32,10.89,-4.43,16611673
527768,0.08,0.99,0.04,-7.75,6.77,2.20,-0.52,1.50,1.34,-7.48,12.54,-4.30,16610904
527779,0.09,1.00,0.05,-7.54,7.02,2.44,-0.57,1.49,1.31,-6.99,11.44,-6.38,16610344
527792,0.12,1.04,0.05,-3.02,6.71,0.95,-0.59,1.47,1.27,-5.28,3.72,-8.03,16611036
527803,0.15,1.07,0.06,1.13,5.77,-1.19,-0.61,1.47,1.28,-4.03,1.74,-9.19,16606789
527815,0.17,1.08,0.06,2.44,3.66,0.58,-0.56,1.48,1.30,-2.38,-4.55,-9.46,16604380
527826,0.18,1.07,0.07,4.09,1.37,0.21,-0.54,1.48,1.32,-2.35,-2.59,-8.64,16609635
527838,0.19,1.04,0.06,3.36,-0.27,-0.73,-0.51,1.47,1.35,-5.49,-2.90,-6.65,16612053
527850,0.17,1.01,0.06,0.95,-1.13,-0.70,-0.50,1.46,1.32,-4.97,1.37,-3.17,16611729
527861,0.15,0.98,0.06,-1.46,-0.12,0.52,-0.51,1.44,1.30,-2.44,5.86,-0.85,16611784
527874,0.13,0.95,0.07,-3.33,1.25,0.52,-0.53,1.46,1.27,-1.25,9.34,-0.18,16610867
527885,0.12,0.94,0.07,-5.89,2.96,0.64,-0.55,1.45,1.24,1.50,11.51,0.61,16610835
527897,0.12,0.93,0.08,-6.68,2.59,-0.55,-0.57,1.47,1.29,3.75,8.12,0.06,16610743
527908,0.15,0.95,0.08,-7.11,1.59,-3.75,-0.57,1.44,1.27,8.64,1.16,1.37,16611554
527921,0.16,0.98,0.08,-4.49,-0.40,-4.30,-0.57,1.46,1.26,10.13,-4.52,2.84,16608851
527932,0.16,1.05,0.08,1.07,-0.70,-1.98,-0.56,1.46,1.25,13.67,-6.74,2.84,16606534
527943,0.14,1.13,0.07,11.90,1.34,1.22,-0.55,1.51,1.31,12.18,2.66,1.01,16610926
527955,0.14,1.19,0.06,18.65,3.69,-7.02,-0.62,1.54,1.35,10.22,7.05,-3.20,16616823
527967,0.14,1.23,0.05,23.80,4.55,-4.58,-0.61,1.59,1.41,5.95,4.00,-8.21,16624275
527979,0.15,1.19,0.03,22.92,3.33,-1.74,-0.58,1.62,1.51,0.06,1.01,-13.28,16629789
527990,0.17,1.10,0.01,15.17,1.10,-3.60,-0.53,1.61,1.57,-10.53,6.29,-12.42,16638590
528003,0.17,1.03,-0.00,7.45,-0.18,-2.17,-0.56,1.59,1.51,-15.84,8.91,-13.61,16643913
528014,0.17,1.01,-0.01,4.76,-0.55,-2.62,-0.59,1.60,1.44,-23.96,8.91,-13.34,16646698
528026,0.15,1.03,-0.00,2.47,1.46,-2.87,-0.66,1.60,1.40,-26.70,9.49,-15.32,16647702
528037,0.12,1.06,0.00,5.25,4.64,-1.43,-0.62,1.59,1.38,-28.08,1.25,-17.06,16651387
528050,0.09,1.10,0.01,7.93,7.32,1.74,-0.58,1.57,1.35,-27.98,-3.08,-15.93,16655191
528061,0.08,1.12,0.01,10.93,9.40,3.45,-0.54,1.54,1.35,-28.29,2.69,-15.50,16656849
528072,0.08,1.12,0.01,12.70,10.86,3.63,-0.53,1.52,1.33,-27.71,4.39,-14.01,16657785
528084,0.08,1.09,0.02,12.91,11.20,2.96,-0.50,1.51,1.35,-27.71,6.20,-12.45,16659168
528096,0.08,1.06,0.02,12.94,11.44,1.37,-0.46,1.47,1.31,-28.17,10.31,-9.16,16659122
528108,0.09,1.07,0.02,13.52,9.58,3.72,-0.47,1.44,1.34,-32.14,14.77,-4.24,16657197
