time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
2004355,0.12,1.05,0.02,2.41,-3.85,-7.32,-0.01,1.02,0.03,-2.96,-0.70,-0.15,16634210
2004365,0.11,1.04,0.01,0.89,-3.17,-6.38,-0.01,1.03,0.03,-4.30,-0.40,0.76,16635371
2004375,0.09,1.01,0.00,-3.66,-2.20,-6.01,-0.01,1.03,0.03,-3.57,-0.95,-1.59,16634209
2004385,0.08,0.99,0.00,-7.05,-0.34,-6.62,-0.01,1.02,0.03,-1.98,-2.53,-2.99,16634221
2004397,0.06,0.98,0.00,-9.40,1.28,-6.13,-0.01,1.01,0.03,-2.44,-1.43,-1.13,16633310
2004409,0.05,0.98,0.01,-10.04,3.11,-6.10,0.00,1.00,0.04,-3.02,-0.89,1.65,16634311
2004420,0.04,0.99,0.02,-8.85,4.21,-5.77,0.01,0.99,0.04,-2.53,-1.04,1.80,16633505
2004431,0.04,0.99,0.03,-7.42,4.55,-4.27,0.01,0.99,0.04,-0.95,-1.50,1.56,16635128
2004444,0.04,0.99,0.03,-5.80,3.54,-1.83,0.02,0.99,0.05,0.12,-0.03,-0.31,16636656
2004455,0.04,0.99,0.03,-4.88,2.87,1.19,0.02,0.99,0.05,1.19,-0.70,-1.77,16636175
2004467,0.05,1.00,0.04,-3.42,1.98,2.17,0.02,0.99,0.05,1.25,-0.37,-1.92,16637378
2004478,0.05,1.01,0.04,-2.78,1.50,2.62,0.02,0.99,0.05,1.10,-0.27,-0.70,16636942
2004491,0.06,1.02,0.04,-2.44,1.22,1.56,0.02,0.99,0.05,0.98,-0.15,0.85,16638283
2004502,0.06,1.02,0.04,-2.08,1.68,0.79,0.02,1.00,0.04,0.37,0.52,1.31,16640501
2004514,0.06,1.03,0.03,-2.29,1.86,-0.18,0.02,1.01,0.04,-0.27,0.92,1.62,16641185
2004526,0.06,1.03,0.03,-2.72,2.47,-0.89,0.02,1.02,0.04,0.09,0.61,-0.64,16639044
2004537,0.06,1.03,0.03,-3.88,2.90,-1.59,0.02,1.03,0.03,0.43,1.19,-2.08,16638671
2004549,0.06,1.03,0.02,-4.55,2.87,-1.74,0.02,1.03,0.03,0.12,1.37,-2.72,16639537
2004560,0.07,1.04,0.02,-4.85,2.90,-2.32,0.02,1.03,0.03,-0.73,0.89,-2.26,16641898
2004573,0.07,1.04,0.02,-4.46,2.75,-3.39,0.02,1.03,0.03,-2.14,0.61,-1.40,16639703
2004584,0.07,1.05,0.03,-3.36,2.47,-3.42,0.02,1.02,0.03,-1.71,1.37,-0.46,16638009
2004596,0.07,1.05,0.03,-2.35,2.08,-3.66,0.01,1.01,0.03,-1.40,0.15,-0.09,16637310
2004608,0.07,1.05,0.03,-1.01,1.95,-3.30,0.01,1.01,0.04,-2.14,-0.03,0.89,16638316
2004620,0.06,1.04,0.03,-0.82,1.50,-1.98,0.01,1.01,0.04,-2.26,-0.06,1.10,16637268
2004631,0.06,1.03,0.03,-0.52,1.59,-1.22,0.01,1.01,0.04,-2.72,0.03,-0.03,16636528
2004643,0.06,1.02,0.03,-0.34,1.37,-0.43,0.01,1.01,0.04,-1.89,0.37,-0.03,16637233
2004655,0.06,1.02,0.03,-0.43,1.59,0.24,0.02,1.01,0.05,-1.22,2.14,-0.82,16638910
2004666,0.06,1.01,0.03,-0.70,1.80,-0.03,0.02,1.01,0.05,-0.12,2.23,-1.68,16638374
2004678,0.06,1.01,0.03,-1.56,1.95,0.03,0.02,1.01,0.05,-0.34,1.98,-1.10,16635894
2004689,0.07,1.01,0.03,-2.32,1.95,-0.06,0.02,1.00,0.04,0.55,2.56,-1.62,16636248
2004702,0.07,1.00,0.03,-2.87,1.62,-0.89,0.01,1.01,0.04,0.15,1.37,-0.98,16635325
2004713,0.07,1.01,0.03,-3.91,1.74,-1.13,0.01,1.01,0.04,-1.16,0.52,-0.34,16636206
2004725,0.07,1.01,0.03,-4.21,1.71,-1.59,0.01,1.01,0.03,-0.64,0.58,-0.18,16637185
2004737,0.07,1.01,0.03,-4.09,1.83,-1.56,0.00,1.01,0.03,-0.43,-0.21,-0.76,16638160
2004749,0.07,1.02,0.03,-3.88,2.11,-1.80,0.01,1.01,0.03,-1.46,-0.27,0.43,16636051
2004760,0.07,1.02,0.03,-3.57,2.26,-2.29,0.01,1.02,0.03,-1.34,0.31,-0.92,16636188
2004771,0.07,1.03,0.03,-2.99,2.14,-2.32,0.01,1.02,0.03,-0.92,0.00,-2.50,16638150
2004784,0.07,1.03,0.03,-2.72,2.08,-1.95,0.01,1.02,0.03,-0.24,0.52,-2.96,16637756
2004795,0.07,1.03,0.03,-1.80,1.83,-1.50,0.01,1.01,0.03,-0.46,0.40,-2.17,16636174
2004807,0.07,1.03,0.03,-1.53,1.86,-0.58,0.01,1.01,0.03,-1.25,-0.15,-1.16,16637082
2004818,0.07,1.03,0.03,-1.31,1.65,-0.55,0.01,1.01,0.03,-1.95,-0.12,-0.70,16637389
