time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
726502,0.06,1.01,0.08,-5.37,2.14,-1.37,0.43,0.93,-0.03,1.01,-0.73,-4.30,16633908
726512,0.06,1.01,0.09,-2.84,2.01,-1.53,0.42,0.93,-0.04,0.79,-0.03,-1.19,16635703
726522,0.05,1.03,0.09,-0.92,2.38,-1.40,0.42,0.92,-0.04,-2.44,1.77,-1.34,16633742
726534,0.05,1.04,0.11,3.85,3.05,-1.98,0.40,0.91,-0.04,-3.91,1.65,0.73,16634794
726545,0.06,1.04,0.11,3.60,2.01,-1.62,0.41,0.92,-0.04,-2.72,2.11,3.91,16636810
726557,0.05,1.02,0.10,-1.50,2.01,-0.61,0.42,0.94,-0.04,-0.18,0.49,-0.79,16634979
726568,0.05,1.00,0.08,-5.89,1.65,-1.34,0.43,0.94,-0.03,1.37,-2.29,-5.46,16635293
726581,0.05,1.01,0.09,-4.91,1.98,-1.65,0.42,0.93,-0.04,-0.46,0.49,-2.29,16635629
726592,0.05,1.03,0.10,-0.79,2.14,-1.46,0.41,0.92,-0.04,-4.00,2.93,1.86,16636245
726604,0.05,1.04,0.11,0.82,2.26,-1.34,0.41,0.92,-0.04,-2.50,1.22,0.58,16635868
726616,0.05,1.02,0.09,-2.69,1.86,-1.01,0.42,0.93,-0.03,0.64,-0.73,-2.14,16635135
726628,0.05,1.01,0.09,-4.94,1.80,-1.25,0.42,0.94,-0.03,1.74,-0.31,-1.34,16635168
726639,0.05,1.02,0.09,-3.27,2.08,-1.43,0.42,0.93,-0.04,-0.31,0.70,-0.40,16633965
726651,0.05,1.03,0.10,-0.61,2.04,-1.28,0.41,0.92,-0.04,-3.85,1.56,-1.07,16636722
726663,0.05,1.03,0.10,-0.55,1.98,-1.31,0.41,0.93,-0.04,-2.99,1.62,-0.89,16637082
726674,0.05,1.02,0.09,-2.81,1.92,-1.04,0.42,0.93,-0.03,0.58,-0.24,-1.22,16635655
726686,0.05,1.01,0.09,-4.24,2.20,-1.16,0.42,0.93,-0.03,1.89,-0.43,-0.82,16635492
726697,0.05,1.02,0.10,-2.47,1.95,-1.13,0.41,0.93,-0.04,-1.16,0.82,-0.40,16635246
726710,0.05,1.03,0.10,-0.98,2.32,-1.40,0.41,0.92,-0.04,-3.05,1.34,-0.98,16634513
726721,0.05,1.03,0.10,-1.62,2.20,-1.46,0.42,0.93,-0.04,-2.08,0.98,-1.28,16635423
726733,0.05,1.02,0.09,-3.14,2.04,-1.37,0.42,0.93,-0.04,0.06,0.09,-0.98,16635645
726745,0.05,1.02,0.09,-3.45,2.01,-1.25,0.42,0.93,-0.04,0.46,0.12,-0.89,16635114
726757,0.05,1.02,0.10,-2.20,2.08,-1.10,0.41,0.93,-0.04,-1.53,0.85,-0.58,16633417
726768,0.05,1.03,0.10,-1.16,2.01,-1.19,0.41,0.93,-0.04,-2.26,0.89,-0.49,16634430
726780,0.05,1.02,0.10,-1.83,1.89,-1.28,0.42,0.93,-0.04,-1.13,0.40,-0.98,16632805
726792,0.05,1.02,0.09,-3.02,2.14,-1.10,0.42,0.93,-0.04,0.03,-0.03,-1.13,16632244
726803,0.05,1.02,0.09,-2.81,1.77,-1.22,0.42,0.93,-0.04,-0.67,0.52,-1.13,16636185
726815,0.05,1.02,0.10,-1.98,2.11,-1.25,0.42,0.93,-0.04,-1.13,0.92,-0.43,16640052
726827,0.05,1.03,0.10,-1.31,1.98,-1.37,0.41,0.93,-0.04,-1.43,0.89,-0.55,16637656
726839,0.05,1.02,0.10,-2.23,1.92,-1.28,0.42,0.93,-0.04,-0.55,0.49,-0.73,16634371
726850,0.05,1.02,0.10,-2.78,1.86,-1.10,0.42,0.93,-0.04,-0.67,0.34,-1.25,16635985
726862,0.05,1.02,0.10,-2.32,2.08,-1.13,0.42,0.93,-0.04,-1.28,0.58,-0.85,16635558
726874,0.05,1.02,0.10,-1.65,2.08,-1.40,0.41,0.93,-0.04,-1.50,0.82,-0.61,16635796
726886,0.05,1.02,0.10,-1.59,1.95,-1.22,0.41,0.93,-0.04,-1.34,0.61,-0.31,16636930
726897,0.05,1.02,0.10,-2.56,1.89,-1.16,0.42,0.93,-0.04,-0.52,0.34,-0.79,16636084
726908,0.05,1.02,0.09,-2.59,2.01,-1.46,0.42,0.93,-0.04,-0.49,0.67,-1.22,16634682
726921,0.05,1.02,0.10,-2.44,2.11,-1.04,0.42,0.93,-0.04,-1.10,0.61,-1.22,16636904
726932,0.05,1.02,0.10,-1.95,2.32,-0.73,0.41,0.92,-0.04,-2.04,1.07,-0.52,16636342
726944,0.05,1.03,0.10,-0.12,2.29,-0.70,0.41,0.92,-0.04,-2.96,0.79,-0.34,16636213
726956,0.05,1.03,0.11,0.18,1.80,-0.76,0.41,0.93,-0.04,-3.57,1.25,0.64,16643883
726968,0.05,1.02,0.09,-3.48,1.95,-1.10,0.42,0.94,-0.04,0.46,0.67,-0.61,16651171
726979,0.05,1.00,0.08,-5.86,1.77,-1.25,0.42,0.93,-0.03,2.08,-1.25,-3.66,16649708
726991,0.05,1.02,0.09,-2.59,2.01,-1.43,0.41,0.93,-0.04,-2.62,1.19,-0.92,16648764
727003,0.05,1.03,0.10,0.49,2.20,-1.22,0.41,0.92,-0.04,-4.18,2.72,1.07,16654169
727015,0.05,1.01,0.09,-4.36,2.26,-0.76,0.43,0.93,-0.03,1.25,-1.16,-4.91,16662575
727026,0.05,0.99,0.07,-10.50,1.74,-0.89,0.43,0.94,-0.03,4.12,-2.81,-6.16,16686705
727037,0.05,1.02,0.10,-3.39,2.29,-0.79,0.40,0.92,-0.05,-2.17,1.46,-0.15,16714456
727050,0.05,1.04,0.12,1.77,2.17,-1.28,0.40,0.92,-0.05,-2.66,3.08,0.12,16748333
