time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
136220,0.07,1.03,0.10,1.95,3.27,-1.31,1.04,-0.01,0.12,4.76,30.33,1.56,16639674
136229,0.04,1.03,0.09,1.92,6.13,-1.59,1.03,-0.03,0.13,8.45,29.91,1.71,16636883
136240,0.02,1.03,0.08,3.39,8.97,-0.40,1.04,-0.04,0.12,6.47,31.62,2.69,16636476
136250,0.02,1.04,0.09,3.94,11.57,-1.68,1.04,-0.03,0.12,11.54,31.07,3.63,16636606
136260,0.04,1.03,0.10,-0.73,9.98,-1.68,1.03,-0.00,0.14,10.01,24.23,1.43,16636284
136271,0.07,1.01,0.10,-5.22,5.86,-1.28,1.02,0.01,0.15,-0.21,10.13,-2.84,16636665
136283,0.09,1.00,0.09,-6.44,1.46,-1.43,1.02,0.01,0.17,-0.73,-2.47,-2.69,16634983
136295,0.07,1.02,0.11,-1.56,2.29,-0.73,1.01,-0.02,0.16,9.58,-24.54,0.70,16637088
136306,0.07,1.04,0.11,1.46,1.56,-1.77,1.00,-0.11,0.12,18.04,-55.15,9.64,16638769
136318,0.06,1.02,0.10,-0.76,1.86,-1.13,1.02,-0.10,0.12,12.63,-72.57,-14.59,16635917
136330,0.06,1.01,0.09,-5.28,2.23,-0.79,1.02,-0.02,0.09,23.93,-85.85,-23.96,16636129
136342,0.06,1.02,0.09,-3.51,2.23,-1.25,1.03,-0.01,0.05,45.26,12.63,-6.16,16636804
136353,0.05,1.03,0.11,-0.73,2.41,-1.89,1.05,0.00,0.11,29.14,-9.83,-6.90,16634939
136365,0.05,1.03,0.10,-0.64,2.23,-1.22,1.05,0.05,0.16,9.58,-5.13,-8.09,16634888
136377,0.05,1.02,0.09,-3.85,1.89,-1.16,1.04,0.04,0.15,10.10,0.46,0.21,16635849
136388,0.05,1.01,0.09,-4.82,2.01,-1.28,1.04,0.02,0.13,-6.99,12.85,12.82,16639274
136400,0.05,1.03,0.10,-1.83,2.38,-1.40,1.03,0.03,0.12,-28.56,20.81,14.68,16638104
136412,0.05,1.03,0.10,-0.06,2.08,-1.40,1.03,0.03,0.09,-20.60,14.59,12.63,16639614
136424,0.05,1.02,0.10,-2.08,2.20,-1.65,1.04,0.04,0.08,-24.29,1.46,-1.98,16638090
136435,0.05,1.01,0.09,-4.58,2.17,-1.22,1.04,0.02,0.08,-12.05,-0.67,-2.50,16635470
136448,0.05,1.02,0.10,-2.90,2.08,-1.46,1.04,0.00,0.08,-9.28,1.80,-0.64,16635643
136459,0.05,1.03,0.10,-0.82,2.23,-1.22,1.04,-0.00,0.08,-5.04,5.10,0.09,16634593
136470,0.05,1.03,0.10,-1.53,1.95,-1.28,1.04,-0.01,0.07,7.48,16.05,0.34,16636314
136482,0.05,1.02,0.10,-3.08,2.08,-1.53,1.04,-0.02,0.05,31.37,7.54,-1.07,16638113
136494,0.05,1.02,0.10,-3.63,1.86,-1.22,1.02,-0.02,0.04,28.59,-15.29,-0.40,16637508
136506,0.05,1.03,0.10,-1.95,1.98,-1.16,1.00,-0.03,0.05,10.22,-45.10,-1.62,16637096
136517,0.05,1.03,0.10,-1.19,2.38,-1.28,1.04,0.01,0.11,-3.23,0.43,-0.27,16638453
136529,0.05,1.02,0.09,-2.35,2.04,-1.19,1.04,0.01,0.13,-14.62,2.41,-2.35,16637343
136541,0.05,1.02,0.09,-3.72,2.17,-0.89,1.04,-0.00,0.12,-9.09,-1.10,-2.47,16636455
136553,0.05,1.02,0.09,-2.66,1.92,-1.31,1.04,-0.01,0.11,-1.89,-0.76,-0.98,16638319
136564,0.05,1.03,0.10,-1.16,2.01,-1.25,1.04,-0.01,0.11,-1.59,-1.10,-3.69,16636405
136577,0.05,1.03,0.10,-1.59,1.92,-1.53,1.04,-0.02,0.11,-10.44,-13.15,-18.01,16635496
136588,0.05,1.02,0.09,-3.33,1.95,-0.92,1.04,-0.02,0.10,-13.40,-15.20,-22.25,16634391
136599,0.05,1.02,0.10,-3.05,2.01,-1.19,1.04,-0.01,0.08,-17.73,-12.91,-15.23,16635275
136611,0.05,1.03,0.10,-1.92,1.98,-1.40,1.04,0.01,0.07,-15.11,-9.25,-11.32,16637569
136623,0.05,1.03,0.10,-1.34,2.11,-1.37,1.03,0.02,0.06,15.47,-4.09,-5.49,16637667
136635,0.05,1.02,0.10,-2.75,2.20,-1.25,1.03,0.02,0.07,5.86,5.07,6.59,16635421
136646,0.05,1.02,0.09,-2.99,1.98,-0.98,1.03,0.03,0.06,6.13,2.26,0.55,16636524
136658,0.05,1.02,0.10,-2.20,2.08,-1.31,1.03,0.03,0.07,-9.43,4.70,7.32,16634851
136670,0.05,1.03,0.10,-1.25,2.11,-1.25,1.03,0.01,0.08,-1.80,11.29,12.82,16633313
136682,0.05,1.02,0.10,-1.92,1.86,-1.25,1.04,0.01,0.08,7.51,3.42,4.82,16635733
136693,0.05,1.02,0.09,-2.81,2.26,-1.04,1.04,0.00,0.08,6.04,-14.04,-20.14,16634150
136706,0.05,1.02,0.09,-2.93,2.08,-1.19,1.04,-0.01,0.07,18.46,-17.97,-29.42,16635152
136717,0.05,1.02,0.10,-2.29,1.80,-1.56,1.04,-0.01,0.07,-0.70,-16.36,-24.66,16636176
136728,0.05,1.03,0.10,-1.77,2.26,-1.16,1.04,-0.01,0.06,3.97,-7.81,-22.28,16632612
136740,0.05,1.02,0.10,-2.23,2.11,-1.37,1.05,0.02,0.04,22.40,-5.04,-39.37,16634080
136752,0.05,1.02,0.09,-2.81,2.11,-1.25,1.06,0.03,0.05,27.25,-4.06,-50.93,16635880
136764,0.05,1.02,0.10,-2.72,2.14,-1.34,1.07,0.05,0.05,26.67,-9.00,-61.98,16636265
136775,0.05,1.02,0.10,-2.17,2.14,-1.28,1.08,0.06,0.06,23.22,-7.05,-75.10,16635637
136787,0.05,1.02,0.10,-1.68,2.08,-1.31,1.06,0.08,0.07,29.24,-8.45,-70.34,16635613
136799,0.05,1.02,0.10,-2.44,1.86,-1.37,1.05,0.08,0.10,28.17,-1.46,-79.35,16635995
136811,0.05,1.02,0.10,-2.53,1.89,-1.28,1.06,0.07,0.13,13.64,30.27,-93.35,16634215
136822,0.05,1.02,0.10,-2.14,2.01,-1.43,1.05,0.09,0.12,-11.51,35.89,-97.05,16635009
136834,0.05,1.02,0.10,-1.95,2.11,-1.37,1.03,0.10,0.08,-15.78,28.87,-71.01,16633604
136846,0.05,1.02,0.10,-2.47,2.11,-1.34,1.07,0.07,0.03,9.98,39.61,-32.29,16631199
136857,0.05,1.02,0.10,-2.78,2.04,-1.40,0.98,0.10,-0.01,63.32,47.82,-51.33,16635309
136869,0.05,1.02,0.09,-2.11,2.04,-0.89,0.98,0.10,0.03,53.83,24.63,-15.20,16638520
136881,0.05,1.02,0.10,-2.01,2.23,-1.19,0.98,0.13,0.11,16.91,5.46,2.01,16634367
136893,0.05,1.02,0.10,-2.29,2.08,-1.10,0.99,0.18,0.14,2.44,1.46,27.71,16632330
136904,0.05,1.02,0.09,-2.66,2.11,-1.16,1.00,0.20,0.14,-10.71,20.23,-6.47,16633928
136916,0.05,1.02,0.10,-2.17,2.17,-1.40,1.05,0.16,0.12,-17.73,22.77,-29.66,16633837
136928,0.05,1.02,0.10,-2.20,2.14,-1.10,1.06,0.15,0.10,12.39,17.76,-28.11,16633642
136940,0.05,1.02,0.10,-2.38,2.04,-1.40,1.07,0.16,0.08,57.04,20.42,-73.39,16633399
136951,0.05,1.02,0.10,-2.32,1.74,-1.56,1.08,0.18,0.11,80.11,38.70,-114.17,16633060
136963,0.05,1.02,0.10,-2.35,1.98,-1.22,1.07,0.25,0.16,75.62,69.24,-154.42,16632941
136975,0.05,1.02,0.10,-2.08,2.23,-1.25,1.05,0.29,0.20,51.09,101.14,-193.88,16634005
136986,0.05,1.02,0.10,-1.65,1.95,-1.13,1.07,0.27,0.20,33.60,123.81,-182.59,16634328
136998,0.05,1.02,0.10,-2.35,1.95,-1.40,1.14,0.21,0.15,36.41,107.15,-127.96,16633012
137010,0.05,1.02,0.10,-2.38,2.17,-1.10,1.19,0.17,0.13,46.14,112.76,-106.99,16633339
137022,0.05,1.02,0.10,-2.47,2.14,-1.31,1.18,0.19,0.13,17.33,136.35,-93.57,16634864
137033,0.05,1.02,0.10,-1.89,2.17,-1.19,1.13,0.21,0.13,60.09,133.73,-66.19,16633702
137046,0.05,1.02,0.09,-2.20,2.01,-1.28,1.04,0.27,0.21,98.51,91.52,-19.84,16633678
137057,0.05,1.02,0.09,-2.35,1.92,-1.28,0.98,0.40,0.37,30.79,66.96,-50.08,16634556
137069,0.05,1.02,0.09,-2.66,2.11,-1.37,1.01,0.47,0.44,0.67,112.64,-104.19,16636941
137080,0.05,1.02,0.10,-2.32,2.08,-1.19,1.08,0.49,0.44,9.55,182.86,-121.89,16637029
137092,0.05,1.02,0.10,-2.47,2.23,-1.31,1.10,0.49,0.39,-0.64,195.25,-119.81,16635484
137104,0.05,1.02,0.10,-2.66,2.01,-1.34,1.09,0.49,0.35,-14.89,199.58,-137.45,16636075
137115,0.05,1.02,0.10,-2.47,2.01,-1.40,1.05,0.49,0.26,4.24,220.98,-189.97,16635965
137127,0.05,1.02,0.10,-1.98,1.77,-1.16,0.98,0.49,0.16,3.91,222.99,-231.93,16636670
137139,0.05,1.02,0.10,-1.40,1.95,-1.37,0.94,0.48,0.06,97.14,227.78,-251.59,16635801
137151,0.05,1.02,0.10,-2.20,2.04,-1.40,0.90,0.51,0.12,170.56,212.68,-203.43,16633692
137162,0.05,1.02,0.10,-2.26,2.20,-1.22,0.89,0.60,0.31,103.33,182.10,-146.61,16634059
137175,0.05,1.02,0.10,-2.41,2.04,-1.46,0.94,0.70,0.45,38.33,181.15,-99.12,16635813
137186,0.05,1.02,0.10,-2.04,2.08,-1.22,0.89,0.79,0.54,-16.48,215.09,-111.27,16633932
137197,0.05,1.02,0.10,-1.86,1.92,-1.10,0.78,0.86,0.52,-55.97,188.39,-161.62,16634628
137209,0.05,1.02,0.10,-2.17,1.95,-1.31,0.71,0.79,0.42,-42.14,113.95,-68.08,16635244
137221,0.05,1.02,0.10,-2.26,2.08,-1.31,0.56,0.69,0.23,98.75,151.76,-135.96,16634631
137233,0.05,1.02,0.10,-2.20,1.71,-1.10,0.39,0.62,0.19,83.56,83.13,-105.38,16634403
137244,0.05,1.02,0.10,-1.98,2.17,-1.59,0.30,0.64,0.15,104.86,23.65,-180.05,16633177
137256,0.05,1.02,0.09,-3.14,1.77,-0.64,0.14,0.87,0.49,-235.60,-209.72,-291.17,16634032
137268,0.05,1.02,0.10,-2.29,1.89,-0.85,-0.07,0.76,0.58,-90.39,-276.55,-233.89,16635384
137280,0.05,1.03,0.10,-1.31,2.04,-1.28,0.15,0.31,0.29,223.85,-351.99,-101.72,16635398
137291,0.05,1.03,0.10,-1.83,1.95,-1.19,0.37,0.13,0.15,463.50,-402.53,-165.31,16635025
137304,0.05,1.02,0.10,-3.02,2.08,-1.04,0.49,0.58,0.20,68.66,-274.75,-133.73,16633841
137315,0.05,1.02,0.09,-3.72,1.92,-1.43,0.54,0.76,0.27,-24.87,-241.21,-82.52,16632789
137326,0.05,1.02,0.10,-1.80,1.98,-1.10,0.49,0.90,0.21,-51.97,-247.86,-154.69,16632920
137338,0.05,1.03,0.10,-0.89,2.01,-1.07,0.43,1.00,0.19,-41.96,-235.02,-255.46,16634852
