time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
189871,0.07,1.02,0.08,-7.51,-2.84,-0.85,-0.39,-0.70,-0.51,-1.13,0.64,-0.64,16634623
189881,0.06,1.02,0.08,-5.68,-2.47,-2.14,-0.39,-0.70,-0.51,-1.10,0.55,-0.73,16636160
189891,0.07,1.02,0.08,-3.85,-4.39,-1.28,-0.39,-0.70,-0.51,-0.73,0.55,-0.52,16636845
189901,0.07,1.03,0.09,-2.08,-5.89,-1.62,-0.39,-0.70,-0.51,-1.07,0.43,-0.76,16637693
189912,0.08,1.04,0.10,1.59,-6.99,-1.37,-0.39,-0.70,-0.51,-0.85,0.34,-0.89,16635176
189922,0.06,1.04,0.13,3.27,-6.20,-0.73,-0.39,-0.70,-0.51,-0.67,0.70,-0.64,16635613
189933,0.06,1.03,0.14,3.20,-4.97,-0.98,-0.39,-0.70,-0.51,-1.07,0.67,-0.55,16636524
189944,0.05,1.01,0.12,-2.17,-1.53,-1.25,-0.39,-0.70,-0.51,-0.95,0.52,-0.82,16635820
189956,0.03,1.00,0.11,-6.29,2.78,-1.31,-0.39,-0.70,-0.51,-0.98,0.58,-0.70,16636015
189968,0.05,1.01,0.11,-4.09,1.80,-2.35,-0.39,-0.71,-0.51,-0.76,0.58,-0.79,16635536
189979,0.05,1.03,0.12,-1.22,1.92,-0.92,-0.39,-0.71,-0.51,-1.07,0.64,-0.92,16635757
189991,0.05,1.03,0.12,0.31,2.44,-0.70,-0.39,-0.70,-0.51,-1.13,0.55,-0.73,16637251
190003,0.06,1.02,0.11,-1.31,2.08,-1.62,-0.39,-0.70,-0.51,-0.79,0.85,-0.79,16637060
190015,0.06,1.01,0.10,-4.36,1.86,-1.34,-0.39,-0.70,-0.51,-1.13,0.58,-0.67,16636643
190026,0.06,1.01,0.10,-4.33,1.98,-1.37,-0.39,-0.70,-0.51,-0.82,0.58,-0.95,16637894
190039,0.06,1.03,0.10,-1.83,2.04,-1.16,-0.39,-0.70,-0.51,-0.76,0.34,-0.64,16635515
190050,0.06,1.03,0.11,-0.46,2.20,-1.16,-0.39,-0.70,-0.51,-0.89,0.64,-0.49,16632880
190062,0.06,1.03,0.10,-1.22,2.11,-1.07,-0.39,-0.70,-0.51,-1.13,0.43,-0.70,16635685
190073,0.06,1.02,0.10,-2.99,2.14,-1.37,-0.39,-0.70,-0.51,-1.04,0.49,-0.55,16636416
190085,0.06,1.02,0.10,-3.63,2.32,-1.28,-0.39,-0.70,-0.51,-1.10,0.55,-0.95,16635589
190097,0.06,1.02,0.10,-2.41,1.83,-1.25,-0.39,-0.70,-0.51,-0.95,0.40,-0.98,16635095
190108,0.06,1.03,0.11,-1.31,2.23,-1.22,-0.39,-0.70,-0.51,-0.70,0.52,-0.85,16631751
190120,0.06,1.02,0.10,-1.50,2.17,-1.19,-0.39,-0.70,-0.51,-1.01,0.46,-0.73,16632745
190132,0.06,1.02,0.10,-2.56,2.08,-1.25,-0.39,-0.70,-0.51,-1.07,0.43,-1.04,16637178
190144,0.06,1.02,0.10,-3.20,2.35,-1.43,-0.39,-0.71,-0.51,-0.95,0.37,-0.85,16636357
190155,0.06,1.02,0.10,-2.59,2.04,-1.56,-0.39,-0.70,-0.51,-0.95,0.67,-0.95,16637406
190168,0.06,1.02,0.10,-1.83,2.29,-1.13,-0.39,-0.71,-0.51,-1.07,0.46,-0.67,16638419
190179,0.06,1.02,0.10,-1.19,2.20,-1.31,-0.39,-0.70,-0.51,-0.98,0.52,-0.89,16639198
190191,0.06,1.02,0.10,-2.08,2.20,-1.31,-0.39,-0.70,-0.51,-0.95,0.61,-0.95,16639968
190202,0.06,1.02,0.10,-2.84,2.23,-1.59,-0.39,-0.71,-0.51,-0.95,0.27,-0.92,16636567
190214,0.06,1.02,0.10,-2.78,1.98,-1.53,-0.39,-0.70,-0.51,-1.04,0.61,-0.73,16635142
190226,0.06,1.02,0.10,-2.14,1.77,-1.53,-0.39,-0.70,-0.51,-1.16,0.61,-0.79,16634872
190237,0.06,1.02,0.10,-1.86,2.17,-1.31,-0.39,-0.70,-0.51,-0.92,0.55,-0.73,16636144
190249,0.06,1.02,0.10,-2.17,1.95,-1.07,-0.39,-0.70,-0.51,-1.28,0.55,-0.67,16635578
190261,0.06,1.02,0.10,-2.75,2.04,-1.25,-0.39,-0.70,-0.51,-0.85,0.58,-0.67,16637096
190273,0.06,1.02,0.10,-2.72,1.74,-1.22,-0.39,-0.70,-0.51,-1.07,0.43,-0.89,16635451
190284,0.06,1.02,0.10,-2.17,2.08,-1.31,-0.39,-0.70,-0.51,-0.70,0.73,-0.89,16635458
190297,0.06,1.02,0.10,-1.80,2.14,-1.34,-0.39,-0.70,-0.51,-0.98,0.61,-0.95,16634991
190308,0.06,1.02,0.10,-2.26,1.92,-1.31,-0.39,-0.70,-0.51,-0.85,0.49,-0.79,16633817
190319,0.06,1.02,0.10,-2.41,2.26,-1.43,-0.39,-0.70,-0.51,-0.85,0.49,-0.73,16633387
190331,0.06,1.02,0.10,-2.62,2.11,-1.34,-0.39,-0.70,-0.51,-1.04,0.40,-1.07,16635864
190343,0.06,1.02,0.10,-2.62,2.01,-1.13,-0.39,-0.71,-0.51,-0.95,0.55,-0.82,16634563
190355,0.06,1.02,0.10,-1.89,2.29,-1.40,-0.39,-0.70,-0.51,-0.98,0.31,-0.79,16636194
190366,0.06,1.02,0.10,-2.08,1.95,-1.19,-0.39,-0.70,-0.51,-1.10,0.76,-0.89,16636883
190379,0.06,1.02,0.10,-2.23,2.20,-1.50,-0.39,-0.70,-0.51,-0.98,0.49,-0.92,16636168
190390,0.06,1.02,0.10,-2.32,2.01,-1.50,-0.39,-0.70,-0.51,-1.13,0.40,-0.76,16636610
190402,0.06,1.02,0.10,-2.29,2.23,-1.37,-0.39,-0.70,-0.51,-1.13,0.61,-0.79,16635616
190413,0.06,1.02,0.10,-2.35,2.14,-0.95,-0.39,-0.70,-0.51,-1.01,0.73,-0.95,16635401
190426,0.06,1.02,0.10,-2.14,2.14,-1.01,-0.39,-0.71,-0.51,-0.82,0.70,-0.76,16635350
190437,0.06,1.02,0.10,-2.26,1.95,-1.22,-0.39,-0.71,-0.51,-1.07,0.43,-0.79,16635871
190448,0.06,1.02,0.10,-2.14,2.26,-1.40,-0.39,-0.71,-0.51,-1.10,0.37,-0.64,16635601
190460,0.06,1.02,0.10,-2.35,2.04,-1.25,-0.39,-0.71,-0.51,-0.89,0.46,-0.76,16635700
190472,0.06,1.02,0.10,-2.20,2.20,-0.98,-0.39,-0.71,-0.51,-1.13,0.61,-0.85,16634708
190484,0.06,1.02,0.10,-2.01,2.08,-1.16,-0.39,-0.71,-0.51,-0.98,0.43,-1.04,16630950
190495,0.06,1.02,0.10,-2.26,2.01,-1.25,-0.39,-0.71,-0.51,-1.28,0.52,-1.04,16631926
190508,0.06,1.02,0.10,-2.53,2.14,-1.50,-0.39,-0.71,-0.51,-1.07,0.61,-0.55,16636096
190519,0.06,1.02,0.10,-2.35,1.89,-1.40,-0.39,-0.70,-0.51,-1.19,0.61,-0.92,16635319
190531,0.06,1.02,0.10,-2.41,2.04,-1.71,-0.39,-0.70,-0.51,-0.85,0.67,-0.95,16635092
190542,0.06,1.02,0.10,-2.14,2.08,-1.40,-0.39,-0.70,-0.51,-0.82,0.82,-0.70,16637217
190554,0.06,1.02,0.10,-1.98,1.92,-1.34,-0.39,-0.70,-0.51,-0.76,0.79,-0.79,16635506
190566,0.06,1.02,0.10,-2.01,2.04,-1.40,-0.39,-0.70,-0.51,-1.22,0.76,-0.85,16634548
190577,0.06,1.02,0.10,-2.17,2.17,-1.25,-0.39,-0.70,-0.51,-0.82,0.58,-0.64,16636155
190589,0.06,1.02,0.10,-2.38,2.35,-1.28,-0.39,-0.71,-0.51,-0.92,0.70,-1.19,16638444
190601,0.06,1.02,0.10,-2.23,2.08,-1.53,-0.39,-0.71,-0.51,-1.10,0.31,-0.67,16638725
190613,0.06,1.02,0.10,-2.20,2.01,-1.16,-0.39,-0.70,-0.51,-0.85,0.49,-0.67,16636426
190624,0.06,1.02,0.10,-2.59,2.38,-1.37,-0.39,-0.70,-0.51,-1.07,0.31,-0.98,16635839
190637,0.06,1.02,0.10,-2.32,2.35,-1.62,-0.39,-0.70,-0.51,-0.98,0.58,-0.85,16635491
190648,0.06,1.02,0.10,-2.29,2.20,-1.31,-0.39,-0.71,-0.51,-1.10,0.49,-0.64,16636005
190660,0.06,1.02,0.10,-2.41,2.04,-1.53,-0.39,-0.71,-0.51,-1.19,0.58,-0.64,16633406
190671,0.06,1.02,0.10,-2.26,2.17,-1.46,-0.39,-0.71,-0.51,-0.98,0.46,-0.95,16634632
190683,0.06,1.02,0.10,-2.23,1.98,-1.10,-0.39,-0.71,-0.51,-0.95,0.55,-0.67,16635730
190695,0.06,1.02,0.10,-2.47,2.08,-1.25,-0.39,-0.71,-0.51,-1.01,0.52,-0.73,16635557
190706,0.06,1.02,0.10,-2.11,2.17,-1.28,-0.39,-0.71,-0.51,-1.25,0.67,-0.92,16635121
190718,0.06,1.02,0.10,-2.14,2.20,-1.28,-0.39,-0.71,-0.51,-0.76,0.61,-0.64,16632106
190730,0.06,1.02,0.10,-2.44,1.98,-1.31,-0.39,-0.71,-0.51,-0.95,0.58,-0.70,16634062
190742,0.06,1.02,0.10,-2.47,2.01,-1.31,-0.39,-0.70,-0.51,-1.04,0.64,-0.70,16634881
190753,0.06,1.02,0.10,-2.41,1.80,-1.19,-0.39,-0.70,-0.51,-1.19,0.49,-0.76,16635658
190766,0.06,1.02,0.10,-2.32,1.89,-1.34,-0.39,-0.71,-0.51,-1.13,0.55,-0.76,16636132
190777,0.06,1.02,0.10,-2.53,1.86,-1.34,-0.39,-0.71,-0.51,-0.89,0.24,-0.76,16636967
190789,0.06,1.02,0.10,-2.47,2.08,-1.40,-0.39,-0.71,-0.51,-1.22,0.67,-0.73,16634467
190800,0.06,1.02,0.10,-2.20,1.98,-1.25,-0.39,-0.70,-0.51,-1.10,0.40,-0.76,16634446
190812,0.06,1.02,0.10,-2.41,2.14,-1.22,-0.39,-0.71,-0.51,-0.92,0.70,-0.64,16636275
190824,0.06,1.02,0.10,-2.26,2.29,-1.19,-0.39,-0.71,-0.51,-1.04,0.64,-0.79,16637161
190835,0.06,1.02,0.10,-2.44,2.20,-1.31,-0.39,-0.71,-0.51,-0.85,0.43,-0.70,16637142
190848,0.06,1.02,0.10,-2.26,1.98,-1.37,-0.39,-0.70,-0.51,-0.82,0.40,-0.58,16636042
190859,0.06,1.02,0.10,-2.69,2.26,-1.43,-0.39,-0.70,-0.51,-1.07,0.79,-0.55,16633869
190871,0.06,1.02,0.10,-2.26,2.38,-1.46,-0.39,-0.70,-0.51,-0.98,0.76,-0.79,16633402
190882,0.06,1.02,0.10,-2.26,2.23,-1.19,-0.39,-0.70,-0.51,-1.07,0.40,-0.98,16637189
190895,0.06,1.02,0.10,-2.62,2.26,-1.31,-0.39,-0.70,-0.51,-1.19,0.37,-0.64,16638816
190906,0.06,1.02,0.10,-2.47,2.26,-1.13,-0.39,-0.70,-0.51,-0.95,0.49,-0.70,16636929
190918,0.06,1.02,0.10,-2.38,1.89,-1.25,-0.39,-0.70,-0.51,-1.10,0.58,-0.82,16635215
190929,0.06,1.02,0.10,-2.38,2.26,-1.34,-0.39,-0.70,-0.51,-1.10,0.61,-0.82,16634676
190941,0.06,1.02,0.10,-2.26,2.23,-1.10,-0.39,-0.70,-0.51,-1.16,0.49,-0.73,16633844
190953,0.06,1.02,0.10,-2.35,1.98,-1.13,-0.39,-0.70,-0.51,-1.28,0.70,-0.79,16635048
190964,0.06,1.02,0.10,-2.29,1.98,-1.19,-0.39,-0.70,-0.51,-0.79,0.37,-0.82,16634893
190977,0.06,1.02,0.10,-2.32,2.29,-1.46,-0.39,-0.70,-0.51,-1.28,0.43,-0.82,16635935
