time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
12224,-0.00,0.99,-0.07,-1.98,1.86,1.50,0.20,-1.02,0.28,8.58,-1.92,-0.18,16452767
12234,0.01,1.00,-0.08,-2.69,3.54,0.09,0.20,-1.04,0.28,10.25,-4.43,4.00,16452964
12244,0.02,1.00,-0.08,-2.84,5.71,-0.98,0.19,-1.02,0.29,10.22,-6.77,4.46,16453221
12255,0.02,1.01,-0.08,-2.99,6.68,-2.04,0.19,-0.97,0.29,7.39,-8.48,0.43,16453309
12265,0.03,1.01,-0.08,-3.39,7.87,-2.96,0.20,-0.93,0.29,5.34,-9.00,-1.62,16453330
12275,0.03,1.01,-0.08,-3.11,9.06,-3.48,0.21,-0.92,0.29,4.39,-9.55,-1.86,16453347
12286,0.01,1.01,-0.08,-3.66,7.45,-3.72,0.21,-0.94,0.29,4.73,-9.98,2.78,16453582
12299,0.00,1.01,-0.08,-3.94,5.55,-3.97,0.22,-0.95,0.29,5.04,-10.62,7.66,16453711
12311,0.00,1.01,-0.08,-4.39,5.58,-4.39,0.22,-0.94,0.28,3.85,-11.87,6.04,16453791
12323,0.00,1.01,-0.08,-4.88,6.29,-3.72,0.23,-0.93,0.27,3.72,-11.47,2.66,16453811
12335,0.00,1.00,-0.08,-3.66,7.78,-3.45,0.25,-0.93,0.26,4.03,-9.52,2.69,16453760
12347,-0.00,0.99,-0.07,-2.38,7.11,-2.87,0.27,-0.92,0.25,3.20,-6.96,2.04,16453823
12359,-0.01,0.98,-0.06,-1.34,7.60,-2.01,0.28,-0.89,0.24,2.04,-4.27,-0.27,16453897
12370,-0.02,0.96,-0.05,0.21,6.93,-1.04,0.29,-0.86,0.22,-1.22,-1.19,-1.89,16453774
12383,-0.03,0.96,-0.05,1.80,4.97,-0.21,0.29,-0.82,0.21,-6.84,1.04,-0.95,16453622
12395,-0.03,0.96,-0.05,3.11,4.03,0.24,0.27,-0.79,0.21,-12.24,2.20,0.98,16453653
12406,-0.04,0.96,-0.05,4.79,3.97,1.04,0.26,-0.78,0.20,-16.60,2.32,2.04,16453655
12419,-0.03,0.96,-0.06,5.00,3.97,2.44,0.24,-0.80,0.20,-19.07,2.01,2.87,16453724
12431,-0.04,0.96,-0.06,6.68,3.36,2.84,0.23,-0.87,0.20,-15.69,1.25,5.55,16453743
12442,-0.03,0.96,-0.06,8.00,3.23,2.62,0.21,-0.93,0.19,-12.27,-1.37,5.83,16453898
12454,-0.03,0.96,-0.07,9.25,3.54,2.72,0.19,-0.94,0.19,-11.57,-4.55,5.89,16453984
12467,-0.02,0.97,-0.07,10.16,5.34,1.59,0.18,-0.91,0.19,-13.67,-6.96,6.74,16453870
12478,-0.01,0.97,-0.08,10.31,6.16,1.53,0.19,-0.89,0.20,-17.64,-8.06,9.09,16453827
12490,-0.01,0.98,-0.08,10.96,5.25,0.82,0.20,-0.87,0.20,-20.78,-8.36,11.44,16453813
12503,-0.01,0.98,-0.09,11.32,5.40,0.43,0.21,-0.87,0.21,-22.31,-8.94,11.17,16454003
12515,-0.01,0.98,-0.10,10.31,4.79,1.13,0.22,-0.88,0.21,-24.66,-8.91,11.75,16454027
12526,-0.00,0.99,-0.11,9.95,4.55,0.82,0.23,-0.90,0.22,-24.41,-8.54,11.17,16453999
12538,0.00,0.99,-0.12,9.89,6.13,0.21,0.24,-0.95,0.22,-21.00,-7.93,6.38,16454105
12551,0.00,1.00,-0.13,9.52,4.00,-0.09,0.25,-0.99,0.23,-17.94,-6.93,6.32,16454238
12562,0.01,1.01,-0.13,9.03,5.31,-0.76,0.26,-1.02,0.24,-15.01,-6.44,5.62,16454441
12574,0.02,1.02,-0.14,8.76,6.50,-0.95,0.26,-1.03,0.24,-13.18,-6.23,3.14,16454374
12587,0.01,1.02,-0.14,8.27,5.95,-1.74,0.27,-1.00,0.24,-14.40,-5.89,2.75,16454223
12598,0.01,1.03,-0.14,7.81,6.47,-2.11,0.27,-0.96,0.24,-18.01,-5.65,3.42,16454230
12610,0.01,1.03,-0.14,6.65,5.40,-2.53,0.26,-0.91,0.24,-24.84,-5.65,5.86,16454179
12622,0.00,1.04,-0.14,4.46,3.85,-3.45,0.26,-0.87,0.24,-31.22,-6.04,10.83,16454191
12634,-0.00,1.05,-0.15,3.75,2.17,-3.88,0.25,-0.89,0.23,-32.87,-6.26,12.51,16454381
12646,-0.01,1.05,-0.15,3.57,2.29,-4.09,0.24,-0.93,0.22,-32.96,-6.62,13.00,16454502
12658,-0.01,1.05,-0.16,3.27,1.77,-4.18,0.23,-1.00,0.22,-27.77,-7.20,10.59,16454515
12669,-0.01,1.04,-0.16,3.63,2.38,-2.96,0.23,-1.08,0.21,-19.44,-6.23,5.13,16454564
12682,-0.01,1.04,-0.16,3.36,3.11,-2.01,0.24,-1.11,0.21,-15.23,-4.30,3.11,16454639
12694,-0.00,1.05,-0.16,2.96,4.85,-1.62,0.24,-1.08,0.21,-16.05,-2.38,3.88,16454787
12705,-0.01,1.05,-0.16,2.04,4.27,-0.61,0.24,-1.00,0.20,-21.88,-0.79,6.68,16454663
12718,-0.01,1.06,-0.16,0.67,2.66,-0.61,0.23,-0.89,0.19,-33.57,-0.06,11.26,16454424
