time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
1207782,-0.11,1.01,0.06,1.89,1.71,-0.15,0.10,0.70,0.75,-0.67,0.49,-0.61,16608817
1207792,-0.11,1.02,0.05,0.89,0.37,0.00,0.09,0.70,0.76,-1.04,-0.58,-0.31,16608457
1207803,-0.10,1.02,0.05,2.08,-0.64,-0.61,0.09,0.71,0.76,-1.07,-1.10,-0.37,16607136
1207816,-0.09,1.01,0.04,1.25,-2.41,-2.04,0.09,0.71,0.77,-1.98,-1.65,0.12,16607005
1207827,-0.09,0.99,0.03,-1.07,-3.51,-4.52,0.09,0.71,0.77,-2.41,-2.11,0.27,16608633
1207839,-0.11,0.98,0.03,-2.72,-2.01,-5.07,0.09,0.71,0.78,-2.84,-1.56,-0.15,16608432
1207851,-0.14,0.99,0.04,-3.05,-0.31,-3.94,0.10,0.71,0.77,-2.26,-0.15,-0.76,16607930
1207863,-0.15,0.99,0.05,-1.68,0.92,-2.32,0.10,0.71,0.76,-1.25,1.31,-1.16,16609472
1207874,-0.16,0.99,0.05,-2.11,1.95,-1.10,0.11,0.71,0.76,-0.58,1.71,-1.34,16607735
1207885,-0.16,0.97,0.06,-3.57,3.02,0.37,0.11,0.71,0.76,0.09,2.35,-1.43,16606222
1207898,-0.17,0.96,0.06,-4.94,4.39,2.04,0.11,0.72,0.76,0.76,2.26,-1.40,16607392
1207909,-0.16,0.96,0.06,-6.62,5.40,2.99,0.10,0.72,0.76,0.82,2.14,-1.56,16609101
1207921,-0.15,0.96,0.06,-7.42,5.71,3.02,0.10,0.72,0.76,0.98,2.44,-2.14,16608320
1207932,-0.13,0.97,0.06,-8.12,4.88,2.08,0.10,0.72,0.77,0.64,1.92,-2.26,16608998
1207945,-0.11,0.99,0.05,-7.66,3.17,1.43,0.10,0.72,0.77,0.58,1.80,-2.17,16608764
1207956,-0.10,1.02,0.05,-5.13,1.16,0.61,0.10,0.73,0.77,0.31,1.46,-1.71,16605471
1207968,-0.11,1.04,0.05,-3.14,0.03,-0.18,0.10,0.73,0.77,-0.09,0.79,-1.07,16607648
1207980,-0.12,1.05,0.05,1.16,0.34,-3.42,0.09,0.73,0.77,-0.82,-1.89,-0.12,16609338
1207992,-0.13,1.05,0.04,-2.04,0.03,-3.51,0.09,0.73,0.77,-1.25,-2.62,0.73,16608284
1208003,-0.13,1.03,0.05,-2.69,-0.15,-7.29,0.09,0.73,0.77,-1.13,-2.78,0.98,16607720
1208014,-0.13,1.03,0.05,-1.71,-1.53,-10.44,0.10,0.74,0.78,-1.86,-2.93,0.98,16607955
1208027,-0.13,1.03,0.05,-0.92,-1.43,-9.98,0.11,0.74,0.78,-2.50,-0.49,0.82,16610580
1208038,-0.15,1.04,0.04,-0.43,1.22,-5.43,0.11,0.73,0.77,-2.50,1.37,0.18,16609959
1208050,-0.17,1.05,0.04,0.37,3.33,-3.42,0.10,0.73,0.78,-2.35,1.13,-0.21,16607819
1208061,-0.17,1.04,0.04,1.28,4.61,-3.88,0.10,0.73,0.78,-2.44,-0.79,-0.06,16605622
1208074,-0.15,1.03,0.04,-0.21,2.96,-3.81,0.10,0.72,0.78,-2.20,-0.79,-0.18,16607403
1208085,-0.12,1.02,0.04,0.06,0.43,-6.96,0.10,0.72,0.77,-2.23,-0.92,-0.03,16610031
1208097,-0.11,1.02,0.05,1.68,-1.62,-7.45,0.11,0.72,0.77,-2.01,-1.10,0.70,16608241
1208109,-0.11,1.02,0.05,1.77,-2.32,-6.23,0.11,0.72,0.76,-2.41,-0.67,0.55,16609140
1208120,-0.12,1.02,0.05,2.69,-1.89,-5.16,0.10,0.71,0.76,-2.50,0.55,0.15,16609938
1208132,-0.13,1.01,0.05,3.08,-1.25,-5.65,0.10,0.71,0.75,-2.56,-1.04,-0.24,16606910
1208143,-0.14,0.99,0.05,1.80,-0.67,-6.07,0.10,0.71,0.75,-1.98,-2.78,0.00,16607696
1208156,-0.15,0.97,0.05,-0.89,-0.55,-5.19,0.10,0.71,0.76,-1.71,-2.20,0.21,16607436
1208167,-0.16,0.96,0.05,-1.71,1.22,-5.98,0.10,0.71,0.76,-1.53,-0.89,0.00,16607307
1208179,-0.17,0.96,0.05,-2.35,2.81,-4.15,0.10,0.71,0.76,-1.22,0.21,-0.24,16609415
1208190,-0.17,0.97,0.05,-2.38,3.33,-3.72,0.11,0.71,0.76,-1.22,0.79,-0.58,16608563
1208203,-0.15,0.98,0.05,-1.98,2.59,-3.51,0.11,0.71,0.76,-1.31,0.49,-0.64,16608477
1208214,-0.14,0.99,0.05,-0.95,1.71,-5.19,0.11,0.71,0.76,-1.43,0.40,-1.04,16606992
1208225,-0.14,1.00,0.05,-1.25,0.76,-5.22,0.11,0.72,0.76,-1.40,-0.49,-0.52,16608336
1208238,-0.15,1.00,0.05,-1.65,-0.43,-5.86,0.11,0.72,0.77,-1.53,-2.17,0.52,16607798
1208249,-0.16,1.00,0.04,-2.56,0.58,-6.87,0.11,0.72,0.77,-1.83,-2.08,1.04,16605822
1208261,-0.17,1.00,0.04,-3.88,1.71,-4.73,0.11,0.72,0.78,-2.41,-1.59,1.16,16608300
1208272,-0.17,0.99,0.04,-4.09,2.26,-5.22,0.11,0.73,0.78,-1.83,-0.67,1.19,16611194
1208285,-0.18,1.00,0.05,-4.64,2.96,-5.74,0.11,0.73,0.78,-1.89,0.00,0.64,16609023
1208296,-0.17,1.00,0.05,-4.76,3.63,-6.65,0.11,0.74,0.78,-1.86,0.31,0.00,16608420
1208308,-0.17,1.01,0.05,-5.13,3.75,-7.54,0.11,0.74,0.78,-1.19,0.12,-0.06,16608618
1208320,-0.17,1.02,0.05,-3.30,3.85,-6.81,0.11,0.74,0.78,-1.01,0.00,0.24,16606377
1208332,-0.17,1.04,0.05,0.03,3.17,-5.92,0.12,0.73,0.77,-0.70,-0.67,1.07,16603450
1208343,-0.17,1.05,0.06,1.98,2.66,-2.38,0.12,0.73,0.77,-1.28,-0.15,1.43,16604393
1208354,-0.18,1.03,0.05,-0.76,3.63,1.25,0.12,0.73,0.78,-1.50,2.84,1.19,16608037
1208367,-0.18,1.01,0.03,-2.75,5.83,-0.61,0.11,0.72,0.78,-1.92,3.27,0.55,16609845
1208378,-0.18,1.01,0.03,-3.27,6.35,0.27,0.10,0.72,0.79,-3.39,1.46,-0.37,16611277
1208390,-0.16,1.02,0.03,-3.11,5.58,1.50,0.10,0.72,0.79,-4.46,1.19,-0.27,16609004
