time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
1190930,0.07,1.05,0.08,3.94,1.95,-6.44,-0.02,0.73,0.79,-4.76,-5.40,4.64,16610674
1190940,0.05,1.07,0.07,-3.66,1.95,-5.83,-0.03,0.73,0.79,-5.13,-5.00,4.30,16611281
1190950,0.05,1.06,0.08,0.31,2.17,-5.37,-0.02,0.72,0.79,-4.61,-5.62,4.79,16611003
1190961,0.06,1.04,0.08,-1.22,0.31,-2.75,-0.02,0.72,0.78,-4.64,-6.20,5.68,16611836
1190971,0.08,1.01,0.09,-3.36,-1.28,-3.85,-0.02,0.71,0.77,-4.12,-6.50,6.13,16610746
1190981,0.09,0.99,0.10,-3.05,-2.50,-5.37,-0.02,0.71,0.77,-3.66,-7.14,6.20,16608996
1190992,0.10,0.98,0.11,-4.27,-4.18,-6.87,-0.02,0.71,0.76,-2.14,-8.06,5.74,16607854
1191005,0.11,0.97,0.12,-5.28,-5.71,-8.18,-0.02,0.71,0.75,-0.95,-9.09,5.68,16610331
1191016,0.12,0.97,0.13,-5.71,-7.48,-7.48,-0.02,0.71,0.75,-0.24,-10.10,5.34,16611549
1191028,0.11,0.97,0.12,-5.80,-8.15,-8.24,-0.01,0.71,0.75,0.89,-9.80,5.22,16609844
1191040,0.09,0.98,0.12,-5.77,-6.65,-8.82,-0.01,0.71,0.75,1.19,-8.82,4.67,16609102
1191051,0.05,0.98,0.12,-6.35,-4.30,-9.55,-0.00,0.71,0.75,1.71,-7.51,4.55,16609377
1191063,0.02,0.97,0.11,-7.87,-1.40,-8.36,0.01,0.70,0.76,1.92,-5.43,4.61,16608848
1191074,-0.00,0.97,0.10,-8.91,0.49,-4.97,0.02,0.70,0.76,1.80,-3.66,4.73,16606980
1191087,-0.01,0.99,0.09,-9.06,1.95,-3.72,0.02,0.70,0.76,1.13,-1.80,5.07,16607206
1191098,-0.00,1.01,0.09,-7.29,2.47,-4.15,0.02,0.70,0.77,0.73,-2.32,5.34,16607719
1191110,0.01,1.05,0.08,-4.30,2.14,-4.82,0.02,0.70,0.77,0.06,-3.51,5.07,16608338
1191121,0.03,1.07,0.08,-2.01,2.41,-6.23,0.01,0.70,0.77,-0.37,-4.24,4.67,16611541
1191134,0.03,1.08,0.08,-0.67,2.26,-6.93,0.01,0.71,0.77,-1.19,-5.04,4.24,16609548
1191145,0.04,1.07,0.08,-0.89,1.68,-5.37,0.01,0.71,0.78,-2.26,-6.16,4.36,16611820
1191156,0.06,1.06,0.08,-2.59,3.72,-10.01,0.01,0.72,0.78,-2.56,-5.65,4.70,16612076
1191169,0.07,1.04,0.11,1.86,-2.26,-1.74,0.01,0.72,0.78,-1.95,-6.59,5.28,16608831
1191180,0.07,1.06,0.11,0.89,-3.17,4.67,0.02,0.73,0.77,-2.53,-3.69,5.58,16609517
1191192,0.08,1.05,0.11,-1.04,-1.65,-7.60,0.02,0.73,0.77,-1.34,-2.29,5.04,16610559
1191203,0.04,1.04,0.12,-0.40,0.06,-4.21,0.02,0.74,0.76,-1.07,-4.46,4.39,16609373
1191216,0.03,1.02,0.13,-1.50,1.01,-5.74,0.01,0.74,0.76,-0.67,-4.64,4.39,16610559
1191227,0.03,1.01,0.14,-3.17,1.40,-8.21,0.01,0.74,0.76,-0.21,-6.50,4.24,16610811
1191239,0.04,1.01,0.14,-3.97,0.21,-8.73,0.01,0.75,0.76,0.00,-8.09,4.55,16610413
1191250,0.05,1.01,0.14,-4.24,-0.37,-9.09,0.01,0.75,0.76,0.09,-8.88,5.16,16609565
1191263,0.05,1.02,0.14,-4.49,-0.58,-9.25,0.01,0.75,0.76,0.37,-10.83,6.35,16610812
1191274,0.04,1.03,0.14,-3.11,-0.27,-10.07,0.01,0.75,0.76,0.52,-12.36,6.93,16609841
1191285,0.03,1.03,0.14,-3.51,0.18,-11.87,0.01,0.75,0.76,1.19,-11.44,7.51,16608268
1191298,0.02,1.02,0.14,-4.49,0.46,-11.35,0.02,0.75,0.76,1.34,-11.11,8.27,16609192
1191309,0.01,1.02,0.13,-4.97,0.46,-9.86,0.04,0.75,0.76,1.62,-9.31,9.31,16612791
1191321,-0.00,1.02,0.13,-5.80,1.62,-8.42,0.06,0.75,0.77,2.14,-6.26,10.25,16611432
1191332,-0.03,1.01,0.12,-7.08,4.49,-7.57,0.07,0.75,0.77,2.56,-3.05,10.25,16609900
1191345,-0.05,1.01,0.12,-7.90,6.84,-6.62,0.08,0.74,0.77,3.11,0.03,9.86,16610223
1191356,-0.05,1.02,0.12,-7.39,8.12,-5.58,0.08,0.74,0.77,3.02,-0.55,10.13,16608100
1191368,-0.04,1.03,0.12,-6.81,8.30,-3.94,0.07,0.74,0.77,2.72,-1.53,9.95,16609267
1191379,-0.02,1.05,0.11,-5.28,8.18,-5.86,0.07,0.73,0.77,2.53,-2.62,9.16,16610140
1191391,0.00,1.06,0.11,-3.54,8.24,-8.24,0.06,0.72,0.77,2.11,-3.45,8.85,16611290
1191403,0.02,1.06,0.11,-2.47,7.48,-10.19,0.05,0.72,0.77,2.20,-5.25,8.97,16610854
1191414,0.04,1.05,0.11,-2.23,5.71,-10.86,0.04,0.73,0.76,2.26,-8.67,9.74,16609399
