11409, 8837, -423, 14822, 3, 8, -4, 991 ,-3660 ,16526 ,14 ,-11 ,-3, 27360.2724, 27939.2540
11411, 8837, -423, 14822, 3, 8, -4, 991 ,-3660 ,16526 ,14 ,-11 ,-3, 27406.6269, 27809.6080
11416, 8466, -1185, 14785, -2, 5, 1, 986 ,-3739 ,16506 ,20 ,-11 ,-4, 27405.6584, 27842.9270
11424, 8793, -541, 14857, -12, 0, -3, 956 ,-3836 ,16468 ,30 ,-15 ,-5, 27297.3597, 27799.6957
11432, 8326, -1277, 14383, -8, -5, -3, 922 ,-3564 ,16378 ,39 ,-19 ,-9, 27346.2474, 27885.0853
11440, 8611, -672, 14373, -256, -5, -8, 830 ,-3439 ,16343 ,35 ,-16 ,-12, 27311.3489, 27763.0568
11450, 8503, -672, 14373, 0, -10, -6, 919 ,-3156 ,16326 ,27 ,-15 ,-14, 27413.0046, 27814.0396
11458, 8247, -1072, 14170, 8, -10, -6, 991 ,-3314 ,16374 ,15 ,-12 ,-14, 27403.5245, 27843.7793
11466, 8496, -567, 14287, 14, -9, -6, 991 ,-3570 ,16456 ,15 ,-12 ,-14, 27340.7549, 27901.4736
11474, 8197, -1165, 14148, 20, -5, -2, 986 ,-3516 ,16456 ,8 ,-7 ,-9, 27292.8149, 27838.2689
11482, 8601, -728, 14550, 8, 3, -5, 1060 ,-3912 ,16537 ,17 ,-2 ,-9, 27248.1114, 27907.2940
11490, 8641, -602, 14785, -2, 5, -1, 1145 ,-3869 ,16473 ,26 ,2 ,-5, 27377.7276, 27816.8231
11498, 8402, -929, 15064, -25, 5, -4, 1230 ,-3927 ,16466 ,36 ,3 ,-5, 27191.9042, 27792.3048
11506, 8749, -108, 14846, -41, 1, 1, 1173 ,-3671 ,16448 ,37 ,4 ,-3, 27344.3997, 27746.9456
11514, 8416, -534, 14611, -31, -3, 11, 1111 ,-3387 ,16523 ,31 ,3 ,-5, 27392.0715, 27822.1458
11522, 8413, -1041, 14305, -31, -4, 8, 888 ,-3450 ,16516 ,27 ,8 ,-1, 27317.8399, 27868.9474
11530, 8413, -1041, 14305, 6, -3, 4, 776 ,-3435 ,16565 ,27 ,11 ,1, 27337.7448, 27908.0987
11538, 8698, -767, 14206, 6, -3, 4, 776 ,-3435 ,16464 ,30 ,11 ,1, 27245.9775, 27814.6178
11546, 8441, -914, 14378, 31, -5, 3, 768 ,-3391 ,16464 ,30 ,10 ,2, 27327.0100, 27938.3153
11554, 8480, -868, 14415, 39, -5, 0, 879 ,-3519 ,16482 ,26 ,8 ,5, 27431.7682, 27922.4545
11561, 8620, -770, 14474, 36, -6, 0, 970 ,-3746 ,16495 ,23 ,5 ,7, 27392.4142, 27685.2787
11569, 8634, -810, 14652, 26, -5, 1, 893 ,-3893 ,16480 ,30 ,4 ,6, 27299.7975, 27865.3741
11577, 8680, -830, 14736, 9, -6, 1, 936 ,-3829 ,16401 ,41 ,3 ,6, 27362.5433, 27840.0660
11585, 8599, -830, 14736, -4, -9, 1, 889 ,-3675 ,16368 ,43 ,4 ,5, 27282.3781, 27883.2912
11593, 8599, -835, 14640, -4, -9, 1, 889 ,-3675 ,16331 ,41 ,7 ,5, 27371.4364, 27803.6714
11600, 8401, -1010, 14356, -9, -12, 0, 764 ,-3590 ,16331 ,41 ,7 ,2, 27401.6798, 27833.5571
11608, 8468, -1014, 14249, -8, -13, -3, 764 ,-3590 ,16338 ,43 ,10 ,2, 27404.3083, 27726.6145
11618, 8440, -961, 14154, -11, -14, -3, 735 ,-3496 ,16261 ,46 ,6 ,2, 27408.4926, 27720.3709
11624, 8340, -853, 13884, -21, -14, -1, 776 ,-3326 ,16263 ,42 ,-1 ,1, 27417.7104, 27664.3783
11634, 8327, -706, 13566, -23, -7, 3, 747 ,-3204 ,16354 ,32 ,-8 ,1, 27452.7222, 27831.6379
11644, 8372, -799, 13741, -17, 2, 8, 753 ,-3158 ,16420 ,22 ,-10 ,3, 27279.0164, 27777.3798
11648, 8348, -1078, 14076, -15, 10, 12, 714 ,-3229 ,16383 ,16 ,-11 ,6, 27404.8299, 27787.8612
11658, 8203, -1334, 14381, -13, 10, 7, 735 ,-3332 ,16282 ,17 ,-9 ,8, 27377.8260, 27868.8192
