14372,12128,-6040,-14292,249,272,-113, 7204,-1824,-14376,-43,-59,12, 0.00, 0.00
14377,-1436,-3036,-12472,425,97,-83, 7128,-1968,-14452,-38,-83,7, 0.00, 0.00
14381,12220,-6200,-14212,232,47,-84, 7340,-1992,-14440,-35,-96,5, 0.00, 0.00
14385,11556,-6320,-15376,150,86,-133, 7356,-2080,-14320,-27,-108,3, 0.00, 0.00
14389,11088,-6032,-15992,158,152,-181, 7332,-1984,-14360,-24,-110,4, 0.00, 0.00
14393,11368,-4192,-12972,166,242,-253, 7456,-2032,-14468,-14,-110,2, 0.00, 0.00
14397,12540,-4044,-12556,90,66,-152, 7448,-2096,-14448,-1,-113,0, 0.00, 0.00
14401,12476,-5032,-14392,45,44,-130, 7476,-2100,-14264,6,-110,3, 0.00, 0.00
14405,12280,-5004,-15160,77,59,-123, 7468,-2084,-14336,8,-105,9, 0.00, 0.00
14409,11980,-4832,-14968,94,59,-96, 7404,-2096,-14400,11,-94,16, 0.00, 0.00
14413,12056,-4868,-14500,142,58,-93, 7376,-2040,-14388,14,-88,13, 0.00, 0.00
14417,12032,-5160,-14116,128,85,-111, 7396,-1912,-14332,18,-85,19, 0.00, 0.00
14421,12216,-5184,-13548,70,85,-116, 7396,-2024,-14280,21,-81,14, 0.00, 0.00
14425,11776,-6916,-15440,117,163,-191, 7412,-1900,-14280,26,-75,14, 0.00, 0.00
14429,12780,-4356,-12028,123,126,-189, 7492,-1944,-14080,30,-65,16, 0.00, 0.00
14433,13428,-4180,-12104,50,21,-117, 7564,-1780,-14016,36,-58,23, 0.00, 0.00
14437,13044,-4824,-13404,3,45,-93, 7608,-1784,-14008,31,-43,27, 0.00, 0.00
14441,12656,-4740,-12940,24,50,-82, 7632,-1668,-13828,26,-24,33, 0.00, 0.00
14445,12108,-4376,-12536,82,10,-73, 7744,-1692,-13780,18,-8,38, 0.00, 0.00
14449,11916,-4664,-12876,90,17,-78, 7824,-1604,-13904,11,11,40, 0.00, 0.00
14454,11804,-4508,-12704,63,-10,-54, 7780,-1620,-13796,3,33,45, 0.00, 0.00
14458,12068,-4472,-12760,61,-11,-54, 7816,-1596,-13696,-5,55,52, 0.00, 0.00
14462,12276,-4444,-12628,72,-3,-60, 7808,-1572,-13900,-10,73,55, 0.00, 0.00
14466,11964,-4404,-12772,64,-33,-41, 7844,-1536,-13804,-10,88,62, 0.00, 0.00
14470,12144,-4388,-12856,55,-35,-38, 7764,-1576,-13792,-15,99,67, 0.00, 0.00
14474,12124,-4432,-12992,37,-33,-29, 7732,-1480,-13828,-15,115,70, 0.00, 0.00
14478,11968,-4524,-12996,21,-41,-23, 7716,-1600,-13840,-17,119,70, 0.00, 0.00
14482,11840,-4760,-13124,13,-50,-10, 7652,-1564,-14040,-18,128,69, 0.00, 0.00
14486,11648,-4796,-13360,0,-54,-5, 7704,-1716,-13856,-21,135,76, 0.00, 0.00
